cohort	method	n	sample_n	target_classes	observed_classes	min_class_pct	max_class_pct	bic	aic	silhouette	ari_vs_selected_gmm	ami_vs_selected_gmm	covariance_min_eigen_or_variance	covariance_max_condition	near_singular_flag	converged	note
CHARLS	gmm_diag	6019	6019	3	3	11.41385612227945	73.41751121448745	405.8560997409088	231.5865130406668	0.1157945687185813	1.0	1.0	9.999999994448884e-07	1130270.5155310188	1.0	1	full sample
CHARLS	gmm_tied	6019	6019	3	3	14.553912610068116	70.80910450240904	60363.55036163135	60202.686127754205	0.3076126215101777	0.4501003958232692	0.5144314850369887	0.1670457035488525	6.662876410593299	0.0	1	full sample
CHARLS	kmeans	6019	6019	3	3	15.667054327961456	53.58032895829872			0.2855015410124266	0.2048018093080556	0.1476885449715922				1	full sample
CHARLS	hierarchical_ward_sample	6019	5000	3	3	12.7	44.64			0.2079449960989968	0.2595522081531395	0.359255557521378				1	sampled to max 5,000 participants for scalability
CHARLS	continuous_severity_tertile	6019	6019	3	3	33.294567203854456	33.361023425818246			0.1318578998141598	0.1233689461059167	0.1923681886502033				1	continuous-domain comparator discretized into tertiles for ARI only
ELSA	gmm_diag	6104	6104	5	5	8.994102228047183	42.6605504587156	-58779.070753331645	-59074.60553454208	0.2014736550543582	1.0	1.0	9.999999995559107e-07	1286514.9780269954	1.0	1	full sample
ELSA	gmm_tied	6104	6104	5	5	1.261467889908257	67.74246395806028	60737.34255601683	60508.97477053605	0.3498471899354585	0.2509192316894407	0.3091068333853519	0.2710503328026301	2.997161665680132	0.0	1	full sample
ELSA	kmeans	6104	6104	5	5	7.536041939711664	45.96985583224115			0.2938034821275779	0.2408709579016221	0.3377231724308742				1	full sample
ELSA	hierarchical_ward_sample	6104	5000	5	5	7.88	35.86			0.2526246734095991	0.4763087812750478	0.480048135180019				1	sampled to max 5,000 participants for scalability
ELSA	continuous_severity_tertile	6104	6104	3	3	33.28964613368283	33.37155963302752			0.1207854535645186	0.2194876220543054	0.2466599154474072				1	continuous-domain comparator discretized into tertiles for ARI only
HRS	gmm_diag	10202	10202	5	5	3.528719858851206	46.21642815134288	-55991.23776670631	-56309.37268527956	0.1498179588079661	0.9223282374128832	0.8774890264869641	9.999999914512829e-07	1324842.333930584	1.0	1	full sample
HRS	gmm_tied	10202	10202	5	5	3.852185845912566	67.20250931189963	92439.58556115268	92193.75403316428	0.2667800098731031	0.3236026058761334	0.443625429505039	0.0649065918587476	14.87524101254148	0.0	1	full sample
HRS	kmeans	10202	10202	5	5	6.21446775142129	40.98216036071359			0.2897515610524877	0.1698796986154915	0.2477515986548786				1	full sample
HRS	hierarchical_ward_sample	10202	5000	5	5	11.28	33.5			0.207011649816006	0.1998927568915927	0.2753155354977587				1	sampled to max 5,000 participants for scalability
HRS	continuous_severity_tertile	10202	10202	3	3	32.94452068221918	33.74828465006862			0.1423266488784562	0.1781765744109405	0.2365014942928017				1	continuous-domain comparator discretized into tertiles for ARI only
KLoSA	gmm_diag	4081	4081	3	3	19.774565057583928	48.54202401372213	17714.162339351147	17549.995808630596	0.1981839517956557	0.926765233693892	0.889718234764013	1.0000000009992009e-06	839126.0056106652	1.0	1	full sample
KLoSA	gmm_tied	4081	4081	3	3	12.129380053908356	73.2173486890468	41960.51015218658	41808.97181613685	0.330324113896515	0.2446881045530591	0.2864628396453167	0.251480835431272	4.7679591309743365	0.0	1	full sample
KLoSA	kmeans	4081	4081	3	3	22.445479049252636	41.38691497182063			0.2564751257814904	0.6877916904039865	0.6415154633045819				1	full sample
KLoSA	hierarchical_ward_sample	4081	4081	3	3	29.4045577064445	40.504778240627296			0.2242313694876146	0.6181231156290335	0.5987568522418522				1	sampled to max 5,000 participants for scalability
KLoSA	continuous_severity_tertile	4081	4081	3	3	33.3251654006371	33.3496691987258			0.1387601844736919	0.2174782281464885	0.2559875170156664				1	continuous-domain comparator discretized into tertiles for ARI only
LASI	gmm_diag	27433	27433	3	3	21.423103561404147	56.59607042612912	33869.844320375254	33656.13726974663	0.1715800586779874	0.9550773167694934	0.9390616000307056	9.999999983346654e-07	976180.3720005556	1.0	1	full sample
LASI	gmm_tied	27433	27433	3	3	7.130098786133489	80.44690700980571	284293.9836490374	284096.7156023033	0.3121058283317777	0.2229438068430491	0.1919347110527032	0.3003085391745758	3.809310177129713	0.0	1	full sample
