cohort,domain,variable,nonmissing,nonmissing_pct,sample_values
CHARLS,id_time_death,ID,96628,100.0,010104101001|010104101002|010104102001|010104102002|010104103001|010104103002|010104104001|010104104002
CHARLS,id_time_death,wave,96628,100.0,5|3|4|1|2
CHARLS,id_time_death,rabmonth,95701,99.04,5|12|9|11|8|10|2|1
CHARLS,id_time_death,rabyear,96341,99.7,1965|1963|1954|1951|1958|1945|1943|1987
CHARLS,id_time_death,radyear,6760,7.0,2019|2011|2016|2014|2015|2012|2017|2013
CHARLS,id_time_death,radmonth,6760,7.0,7|10|8|9|1|3|12|11
CHARLS,id_time_death,ragender,96621,99.99,0|1
CHARLS,id_time_death,radadoccup_c,78093,80.82,1|0
CHARLS,id_time_death,radaddrug,77335,80.03,0|1
CHARLS,cardiometabolic_chronic,hibpe,91305,94.49,0|1
CHARLS,cardiometabolic_chronic,dyslipe,90085,93.23,1|0
CHARLS,cardiometabolic_chronic,diabe,90976,94.15,1|0
CHARLS,cancer_secondary,cancre,91286,94.47,0|1
CHARLS,cardiometabolic_chronic,hearte,91232,94.42,0|1
CHARLS,cardiometabolic_chronic,stroke,71658,74.16,0|1
CHARLS,affective,psyche,91346,94.53,0|1
CHARLS,cognitive,memrye,91355,94.54,0|1
CHARLS,cardiometabolic_chronic,hibpe_self,52076,53.89,0|6|4|1|5
CHARLS,affective,psyche_self,70290,72.74,0|1|6|4|5
CHARLS,affective,sleep_night,91000,94.18,5|4|6|8|7|9|3|4.5
CHARLS,affective,sleep_nap,91542,94.74,0|60|24|2|30|4|1|120
CHARLS,lifestyle_covariate,vgactx_c,61816,63.97,0|7|5|4|2|3|6|1
CHARLS,lifestyle_covariate,mdactx_c,61786,63.94,7|0|5|3|2|4|1|6
CHARLS,lifestyle_covariate,ltactx_c,61743,63.9,7|0|1|2|4|5|6|3
CHARLS,lifestyle_covariate,act_1,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_2,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_3,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_4,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_5,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_6,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_7,95014,98.33,0|1
CHARLS,lifestyle_covariate,act_8,95014,98.33,0|1
CHARLS,lifestyle_covariate,freq_act_1,94976,98.29,4|1|3|2
CHARLS,lifestyle_covariate,freq_act_2,94992,98.31,4|3|2|1
CHARLS,lifestyle_covariate,freq_act_3,94978,98.29,4|3|2|1
CHARLS,lifestyle_covariate,freq_act_4,95008,98.32,4|1|2|3
