cohort,wave,women50_rows,ready_or_limited_domains,functional,cognitive,affective,cardiometabolic_chronic
CHARLS,1,6878,4,primary:iadl,primary:total_cognition;memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd10,primary:hibpe;diabe;hearte;stroke;dyslipe;cancre
CHARLS,2,7721,4,primary:iadl,primary:total_cognition;memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd10,primary:hibpe;diabe;hearte;stroke;dyslipe;cancre
CHARLS,3,8576,4,primary:iadl,primary:total_cognition;memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd10,primary:hibpe;diabe;hearte;stroke;dyslipe;cancre
CHARLS,4,9088,4,primary:iadl,primary:total_cognition;memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd10,primary:hibpe;diabe;hearte;dyslipe;cancre
CHARLS,5,9539,4,primary:iadl,primary:total_cognition;memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd10,primary:hibpe;diabe;hearte;stroke;dyslipe;cancre
ELSA,1,6292,4,primary:adltot6,primary:imrc;dlrc;orient,primary:cesd,primary:hibpe;diabe;hearte;stroke;cancre
ELSA,2,5087,4,primary:adltot6,primary:imrc;dlrc;orient,primary:cesd,primary:hibpe;diabe;stroke;hchole;cancre
ELSA,3,5131,4,primary:adltot6,primary:imrc;dlrc;orient,primary:cesd,primary:hibpe;diabe;hearte;stroke;hchole;cancre
ELSA,4,5888,4,primary:adltot6;iadltot2_e,primary:imrc;dlrc;orient,primary:cesd,primary:hibpe;diabe;hearte;stroke;hchole;cancre
ELSA,5,5572,4,primary:adltot6;iadltot2_e,primary:memory_z;orient_z;tcog_z_z;imrc;dlrc;orient,primary:cesd;depressive,primary:hibpe;diabe;hearte;stroke;hchole;cancre
ELSA,6,5693,4,primary:adltot6;iadltot2_e,primary:memory_z;orient_z;tcog_z_z;imrc;dlrc;orient,primary:cesd;depressive,primary:hibpe;diabe;hearte;stroke;hchole;cancre
ELSA,7,5240,4,primary:adltot6;iadltot2_e,primary:memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd;depressive,primary:hibpe;diabe;hearte;stroke;hchole;cancre
ELSA,8,4627,4,primary:adltot6;iadltot2_e,primary:memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd;depressive,primary:hibpe;diabe;hearte;stroke;hchole;cancre
ELSA,9,4746,4,primary:adltot6;iadltot2_e,primary:memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd;depressive,primary:hibpe;diabe;hearte;stroke;hchole;cancre
HRS,5,11005,4,primary:adl6a,primary:cogtot;cog27;memory_z;orient_z;tcog_z_z;ser7;imrc;dlrc;orient,primary:cesd;depressive,primary:hibpe;diabe;hearte;stroke;cancre
