cohort,domain,variable,present,nonmissing,nonmissing_pct
CHARLS,time,wave,1,96628,100.0
CHARLS,time,iwstat,1,96628,100.0
CHARLS,time,radyear,1,6760,7.0
CHARLS,time,radmonth,1,6760,7.0
CHARLS,time,age,1,96341,99.7
CHARLS,time,agey,0,0,0.0
CHARLS,time,r1agey,0,0,0.0
CHARLS,time,ragey_b,0,0,0.0
CHARLS,time,ragey_e,0,0,0.0
CHARLS,sex,ragender,1,96621,99.99
CHARLS,functional,adltot6,0,0,0.0
CHARLS,functional,adl6a,0,0,0.0
CHARLS,functional,iadl,1,95923,99.27
CHARLS,functional,iadlfour,0,0,0.0
CHARLS,functional,iadltot2_e,0,0,0.0
CHARLS,functional,r1adltot6,0,0,0.0
CHARLS,functional,r1iadltot_l,0,0,0.0
CHARLS,functional,frailty,0,0,0.0
CHARLS,functional,frailtya,1,53462,55.33
CHARLS,functional,frailtyb,1,76851,79.53
CHARLS,functional,gripsum,1,42534,44.02
CHARLS,functional,gripcomp,1,43373,44.89
CHARLS,functional,walkcomp,1,21359,22.1
CHARLS,functional,fall,0,0,0.0
CHARLS,functional,fall_down,1,94706,98.01
CHARLS,cognitive,total_cognition,1,84490,87.44
CHARLS,cognitive,cog_total,0,0,0.0
CHARLS,cognitive,cogtot,0,0,0.0
CHARLS,cognitive,cog27,0,0,0.0
CHARLS,cognitive,r1cog_total,0,0,0.0
CHARLS,cognitive,memory_z,1,80900,83.72
CHARLS,cognitive,orient_z,1,83799,86.72
CHARLS,cognitive,tcog_z_z,1,87360,90.41
CHARLS,cognitive,dementia,0,0,0.0
CHARLS,cognitive,demene,0,0,0.0
CHARLS,cognitive,alzdeme,0,0,0.0
CHARLS,affective,cesd,0,0,0.0
CHARLS,affective,cesd10,1,87755,90.82
CHARLS,affective,cesd10a,0,0,0.0
CHARLS,affective,cesd10b,0,0,0.0
CHARLS,affective,r1cesd10,0,0,0.0
CHARLS,affective,depressive,0,0,0.0
CHARLS,affective,psyche,1,91346,94.53
CHARLS,affective,r1psyche,0,0,0.0
CHARLS,affective,sleep_night,1,91000,94.18
CHARLS,affective,satlifez,1,85603,88.59
CHARLS,cardiometabolic_chronic,hibpe,1,91305,94.49
