concept,concept_role,variable,preference_rank,selected_assignment_n,nonmissing_n,nonmissing_pct,sample_values,cohort,clean_csv,all_candidates,selected_variable,selected_nonmissing_n,selected_nonmissing_pct,selected_status
education,minimal_core,raeducl,1,4081,4081,100.0,3|1|2,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,raeducl;raeduc_k;radadeducl;ramomeducl,raeducl,4081,100.0,ready
education,minimal_core,raeduc_k,2,4081,4081,100.0,7|2|3|1|4|5|8|6,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,raeducl;raeduc_k;radadeducl;ramomeducl,raeducl,4081,100.0,ready
education,minimal_core,radadeducl,3,4081,3999,97.99,2|1|3,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,raeducl;raeduc_k;radadeducl;ramomeducl,raeducl,4081,100.0,ready
education,minimal_core,ramomeducl,4,4081,4021,98.53,2|1|3,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,raeducl;raeduc_k;radadeducl;ramomeducl,raeducl,4081,100.0,ready
marital_status,minimal_core,mstath,1,4081,4081,100.0,1|7|5|4|8,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,mstath,mstath,4081,100.0,ready
rural_region,expanded_core,rural,1,4081,4081,100.0,0|1,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,rural;region_k,rural,4081,100.0,ready
rural_region,expanded_core,region_k,2,4081,4081,100.0,11|31|23|21|38|26|36|22,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,rural;region_k,rural,4081,100.0,ready
smoking,minimal_core,smoken,1,4081,4081,100.0,0|1,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,smoken;smokef;smokev;quitsmok;strtsmok,smoken,4081,100.0,ready
smoking,minimal_core,smokef,2,4081,4081,100.0,0|10|2|6|12|20|4|5,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,smoken;smokef;smokev;quitsmok;strtsmok,smoken,4081,100.0,ready
smoking,minimal_core,smokev,3,4081,4081,100.0,0|1,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,smoken;smokef;smokev;quitsmok;strtsmok,smoken,4081,100.0,ready
smoking,minimal_core,quitsmok,4,4081,78,1.91,85|68|72|67|80|61|58|87,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,smoken;smokef;smokev;quitsmok;strtsmok,smoken,4081,100.0,ready
smoking,minimal_core,strtsmok,5,4081,166,4.07,29|75|48|32|65|78|46|26,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,smoken;smokef;smokev;quitsmok;strtsmok,smoken,4081,100.0,ready
drinking,minimal_core,drink,1,4081,4081,100.0,0|1,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,drink;drinkev;drinkn_k;drinkx,drink,4081,100.0,ready
drinking,minimal_core,drinkev,2,4081,4081,100.0,1|0,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,drink;drinkev;drinkn_k;drinkx,drink,4081,100.0,ready
drinking,minimal_core,drinkn_k,3,4081,4081,100.0,0|2|3|7|1|5|4|8,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,drink;drinkev;drinkn_k;drinkx,drink,4081,100.0,ready
drinking,minimal_core,drinkx,4,4081,4081,100.0,0|1|2|4|3,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,drink;drinkev;drinkn_k;drinkx,drink,4081,100.0,ready
physical_activity,expanded_core,,,4081,0,,,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,,,0,,no_candidate
bmi,optional_biometric,bmi,1,4081,3955,96.91,24.5243453979492|21.6441211700439|22.3081493377686|21.1109027862549|20.8888893127441|21.0828132629395|29.048656463623|25.4766597747803,KLoSA,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,bmi,bmi,3955,96.91,ready
education,minimal_core,raeducl,1,6019,6019,100.0,1|2|3,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,raeducl;raeduc_c;ramischlth,raeducl,6019,100.0,ready
education,minimal_core,raeduc_c,2,6019,6019,100.0,1|2|4|3,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,raeducl;raeduc_c;ramischlth,raeducl,6019,100.0,ready
education,minimal_core,ramischlth,3,6019,3151,52.35,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,raeducl;raeduc_c;ramischlth,raeducl,6019,100.0,ready
marital_status,minimal_core,marry,1,6019,6019,100.0,1|2|7|5|4|8,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,marry,marry,6019,100.0,ready
rural_region,expanded_core,hrural,1,6019,6019,100.0,1|0,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
rural_region,expanded_core,rural2,2,6019,6015,99.93,1|0,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
rural_region,expanded_core,region,3,6019,6019,100.0,西部|东部|东北|中部,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
rural_region,expanded_core,province,4,6019,6019,100.0,云南省|福建省|青海省|四川省|河北省|江西省|新疆维吾尔自治区|北京,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
rural_region,expanded_core,hukou,5,6019,6017,99.97,1|2|3|4,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
rural_region,expanded_core,city,6,6019,6019,100.0,保山市|楚雄彝族自治州|昭通市|昆明市|临沧市|丽江市|漳州市|莆田市,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
rural_region,expanded_core,electricity,7,6019,5985,99.44,1|0,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,hrural;rural2;region;province;hukou;city;electricity,hrural,6019,100.0,ready
smoking,minimal_core,smoken,1,6019,6018,99.98,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,smoken;smokef;smokev,smoken,6018,99.98,ready
smoking,minimal_core,smokef,2,6019,5855,97.28,0|1|20|2|3|5|10|7,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,smoken;smokef;smokev,smoken,6018,99.98,ready
smoking,minimal_core,smokev,3,6019,6018,99.98,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,smoken;smokef;smokev,smoken,6018,99.98,ready
drinking,minimal_core,drinkev,1,6019,6016,99.95,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,drinkev;drinkl,drinkev,6016,99.95,ready
drinking,minimal_core,drinkl,2,6019,6019,100.0,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,drinkev;drinkl,drinkev,6016,99.95,ready
physical_activity,expanded_core,vgact_c,1,6019,2652,44.06,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,vgact_c;mdact_c;ltact_c;vgactx_c;mdactx_c;ltactx_c,vgact_c,2652,44.06,candidate_below_threshold
physical_activity,expanded_core,mdact_c,2,6019,2651,44.04,0|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,vgact_c;mdact_c;ltact_c;vgactx_c;mdactx_c;ltactx_c,vgact_c,2652,44.06,candidate_below_threshold
physical_activity,expanded_core,ltact_c,3,6019,2642,43.89,1|0,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,vgact_c;mdact_c;ltact_c;vgactx_c;mdactx_c;ltactx_c,vgact_c,2652,44.06,candidate_below_threshold
physical_activity,expanded_core,vgactx_c,4,6019,2643,43.91,0|3|7|6|4|2|5|1,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,vgact_c;mdact_c;ltact_c;vgactx_c;mdactx_c;ltactx_c,vgact_c,2652,44.06,candidate_below_threshold
physical_activity,expanded_core,mdactx_c,5,6019,2636,43.79,0|4|5|7|6|3|1|2,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,vgact_c;mdact_c;ltact_c;vgactx_c;mdactx_c;ltactx_c,vgact_c,2652,44.06,candidate_below_threshold
physical_activity,expanded_core,ltactx_c,6,6019,2624,43.6,7|4|0|5|6|3|1|2,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,vgact_c;mdact_c;ltact_c;vgactx_c;mdactx_c;ltactx_c,vgact_c,2652,44.06,candidate_below_threshold
bmi,optional_biometric,bmi,1,6019,5103,84.78,19.886775970459|21.6966400146484|24.8491172790527|28.320779800415|27.1614074707031|24.5312480926514|21.6731338500977|22.9874267578125,CHARLS,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,bmi,bmi,5103,84.78,ready
