analysis_set,analysis_tier,cohort,outcome_family,model_type,adjustment,n,events,skip_reason
strict_earliest_primary,strict_primary,LASI,functional,endotype,minimal_core,0,0,no_available_rows
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,CHARLS,functional,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,HRS,functional,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,functional,endotype,expanded_core,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,functional,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,ELSA,functional,endotype,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,functional,endotype,minimal_plus_bmi,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,functional,endotype,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,functional,severity_tertile,minimal_core,0,0,no_available_rows
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,CHARLS,functional,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,HRS,functional,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,functional,severity_tertile,expanded_core,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,functional,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,ELSA,functional,severity_tertile,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,functional,severity_tertile,minimal_plus_bmi,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,functional,severity_tertile,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,mortality,endotype,minimal_core,0,0,no_available_rows
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,mortality,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,CHARLS,mortality,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,HRS,mortality,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,mortality,endotype,expanded_core,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,mortality,endotype,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,ELSA,mortality,endotype,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,mortality,endotype,minimal_plus_bmi,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,mortality,endotype,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,HRS,mortality,severity_tertile,minimal_core,10043,5569,fit_failed: ValueError: nonfinite_cox_result
strict_earliest_primary,strict_primary,LASI,mortality,severity_tertile,minimal_core,0,0,no_available_rows
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,mortality,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,CHARLS,mortality,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,HRS,mortality,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,mortality,severity_tertile,expanded_core,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,mortality,severity_tertile,expanded_core,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,ELSA,mortality,severity_tertile,minimal_plus_bmi,0,0,covariate_set_not_ready
strict_earliest_primary,strict_primary,LASI,mortality,severity_tertile,minimal_plus_bmi,0,0,no_available_rows
strict_earliest_primary,strict_primary,MHAS,mortality,severity_tertile,minimal_plus_bmi,0,0,covariate_set_not_ready
