outcome,effect_measure,analysis_set,analysis_tier,cohort,term_label,adjustment,age_adjusted_effect,age_adjusted_ci_low,age_adjusted_ci_high,age_adjusted_p_value,sensitivity_effect,sensitivity_ci_low,sensitivity_ci_high,sensitivity_p_value,effect_ratio_sensitivity_vs_age,direction_change,significance_change,material_log_change,stability_flag
functional_deterioration_ge_0_5sd,OR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,2,minimal_core,1.3891,1.1919,1.6191,2.6e-05,1.3952,1.1957,1.628,2.3e-05,1.0044,0,0,0,0
functional_deterioration_ge_0_5sd,OR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,2,minimal_plus_bmi,1.3891,1.1919,1.6191,2.6e-05,1.363,1.1628,1.5977,0.000133,0.9812,0,0,0,0
functional_deterioration_ge_0_5sd,OR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,minimal_core,0.7345,0.586,0.9206,0.00741,0.7328,0.584,0.9195,0.007268,0.9977,0,0,0,0
functional_deterioration_ge_0_5sd,OR,functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,minimal_plus_bmi,0.7345,0.586,0.9206,0.00741,0.7198,0.5687,0.9111,0.006243,0.98,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,CHARLS,2,minimal_core,0.7676,0.6377,0.9239,0.005166,0.7353,0.6104,0.8857,0.001204,0.9579,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,CHARLS,2,minimal_plus_bmi,0.7676,0.6377,0.9239,0.005166,0.7295,0.6007,0.8859,0.001461,0.9504,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,CHARLS,3,minimal_core,0.4485,0.3729,0.5393,0.0,0.4367,0.3631,0.5253,0.0,0.9738,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,CHARLS,3,minimal_plus_bmi,0.4485,0.3729,0.5393,0.0,0.4745,0.3887,0.5793,0.0,1.058,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,2,minimal_core,1.1814,0.9973,1.3994,0.053755,1.1297,0.9421,1.3546,0.188153,0.9562,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,2,expanded_core,1.1814,0.9973,1.3994,0.053755,1.1125,0.9267,1.3354,0.252824,0.9417,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,3,minimal_core,1.4772,1.1743,1.8584,0.000864,1.4422,1.1279,1.8442,0.00351,0.9763,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,3,expanded_core,1.4772,1.1743,1.8584,0.000864,1.3563,1.0591,1.7369,0.015723,0.9182,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,4,minimal_core,2.1183,1.68,2.671,0.0,2.041,1.5893,2.621,0.0,0.9635,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,4,expanded_core,2.1183,1.68,2.671,0.0,1.9552,1.5196,2.5155,0.0,0.923,0,0,0,0
functional_deterioration_ge_0_5sd,OR,strict_earliest_primary,strict_primary,ELSA,5,minimal_core,0.9378,0.7377,1.1922,0.599816,0.8475,0.6574,1.0927,0.201862,0.9038,0,0,0,0
