analysis_set,analysis_tier,cohort,outcome,outcome_label,adjustment,aic_endotype,aic_severity_tertile,auc_endotype,auc_severity_tertile,bic_llf_endotype,bic_llf_severity_tertile,event_pct_endotype,event_pct_severity_tertile,events_endotype,events_severity_tertile,n_endotype,n_severity_tertile,delta_aic_severity_tertile_minus_endotype,delta_auc_endotype_minus_severity
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_core,4616.415,4623.505,0.5865,0.5851,4691.434,4698.525,29.84,29.84,1144,1144,3834,3834,7.0900000000001455,0.0014000000000000679
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_plus_bmi,4460.874,4463.409,0.5871,0.5889,4541.743,4544.277,29.54,29.54,1098,1098,3717,3717,2.5349999999998545,-0.0018000000000000238
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_core,6691.605,6696.854,0.6515,0.6531,6771.356,6776.605,31.04,31.04,1765,1765,5687,5687,5.249000000000706,-0.0016000000000000458
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_plus_bmi,5800.289,5796.768,0.646,0.6494,5884.673,5881.152,31.68,31.68,1543,1543,4871,4871,-3.520999999999731,-0.0033999999999999586
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,expanded_core,4516.579,4507.637,0.7556,0.7571,4632.234,4610.441,25.87,25.87,1180,1180,4561,4561,-8.942000000000007,-0.0014999999999999458
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_core,4537.703,4519.876,0.7517,0.7544,4627.66,4596.982,25.87,25.87,1180,1180,4562,4562,-17.827000000000226,-0.0026999999999999247
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_core,11409.599,11381.615,0.702,0.7059,11524.026,11481.738,37.6,37.6,3546,3546,9430,9430,-27.98400000000038,-0.0039000000000000146
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_plus_bmi,11035.709,11022.471,0.7112,0.7139,11156.921,11129.423,37.48,37.48,3459,3459,9229,9229,-13.238000000001193,-0.0026999999999999247
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_core,5932.388,5959.351,0.6766,0.6691,6024.794,6038.557,26.39,26.39,1434,1434,5434,5434,26.962999999999738,0.007499999999999951
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,expanded_core,4407.217,7329.44,0.9355,0.7969,4539.896,7454.748,12.49,12.49,1467,1467,11743,11743,2922.223,0.13859999999999995
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_core,4587.489,7670.8,0.935,0.7886,4691.216,7767.118,12.49,12.49,1523,1523,12198,12198,3083.3110000000006,0.14640000000000009
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,minimal_plus_bmi,4422.7,7344.633,0.9355,0.7923,4533.492,7448.039,12.13,12.13,1446,1446,11922,11922,2921.933,0.1432
