analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,model_type,adjustment,adjustment_description,n,events,event_pct,aic,bic_llf,auc,converged,reference,covariates
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_core,Age + education + marital status + smoking + drinking,3834,1144,29.84,4616.415,4691.434,0.5865,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_core,Age + education + marital status + smoking + drinking,5687,1765,31.04,6691.605,6771.356,0.6515,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_core,Age + education + marital status + smoking + drinking,4562,1180,25.87,4537.703,4627.66,0.7517,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_core,Age + education + marital status + smoking + drinking,9430,3546,37.6,11409.599,11524.026,0.702,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_core,Age + education + marital status + smoking + drinking,5434,1434,26.39,5932.388,6024.794,0.6766,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_core,Age + education + marital status + smoking + drinking,12198,1523,12.49,4587.489,4691.216,0.935,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,expanded_core,Minimal core + rural/region + physical activity,4561,1180,25.87,4516.579,4632.234,0.7556,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_rural_region_raw;cov_physical_activity_raw
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,expanded_core,Minimal core + rural/region + physical activity,11743,1467,12.49,4407.217,4539.896,0.9355,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_rural_region_raw;cov_physical_activity_raw
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_plus_bmi,Minimal core + BMI,3717,1098,29.54,4460.874,4541.743,0.5871,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_bmi
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,minimal_plus_bmi,Minimal core + BMI,4871,1543,31.68,5800.289,5884.673,0.646,1,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_bmi
