analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,Intercept,Intercept,1,-2.448832,0.0864,0.0473,0.1579,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.333052,1.3952,1.1957,1.628,2.3e-05
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-0.310899,0.7328,0.584,0.9195,0.007268
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,0.203324,1.2255,1.0094,1.4877,0.039879
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.095668,0.9088,0.5884,1.4035,0.66616
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.4.0],4.0,1,-0.74155,0.4764,0.1611,1.4087,0.18009
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,-0.124545,0.8829,0.5048,1.5441,0.662321
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,0.009191,1.0092,0.8448,1.2056,0.919296
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.rare_or_sparse],rare_or_sparse,1,-0.546092,0.5792,0.1648,2.0352,0.394381
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.55855,1.7481,1.1847,2.5796,0.004898
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,-0.02096,0.9793,0.8104,1.1834,0.82821
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,age,age,1,0.022236,1.0225,1.0132,1.0319,2e-06
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,Intercept,Intercept,1,-4.618219,0.0099,0.006,0.0162,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-0.307541,0.7353,0.6104,0.8857,0.001204
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-0.828478,0.4367,0.3631,0.5253,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-0.762892,0.4663,0.3449,0.6304,1e-06
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.749775,0.4725,0.2389,0.9343,0.031131
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.2.0],2.0,1,0.261266,1.2986,0.9755,1.7287,0.073493
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,-0.326034,0.7218,0.2998,1.7376,0.466999
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,-0.098195,0.9065,0.7689,1.0687,0.242456
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.rare_or_sparse],rare_or_sparse,1,0.259189,1.2959,0.5829,2.8811,0.524899
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.029773,1.0302,0.8164,1.3,0.801911
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,0.122483,1.1303,0.9625,1.3273,0.135182
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,age,age,1,0.064203,1.0663,1.0578,1.0749,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,Intercept,Intercept,1,-6.56846,0.0014,0.0007,0.0027,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.121933,1.1297,0.9421,1.3546,0.188153
