analysis_set,analysis_tier,cohort,outcome,outcome_label,adjustment,event_pct_endotype,event_pct_severity_tertile,events_endotype,events_severity_tertile,median_followup_time_years_endotype,median_followup_time_years_severity_tertile,n_endotype,n_severity_tertile,partial_aic_endotype,partial_aic_severity_tertile,partial_bic_endotype,partial_bic_severity_tertile,delta_partial_aic_severity_tertile_minus_endotype
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,minimal_core,18.2,18.2,726.0,726.0,10.0,10.0,3990.0,3990.0,10258.628,10226.914,10327.835,10296.121,-31.713999999999942
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,minimal_plus_bmi,17.43,17.43,674.0,674.0,10.0,10.0,3868.0,3868.0,9466.623,9436.581,9541.749,9511.707,-30.04199999999946
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,minimal_core,11.98,11.98,703.0,703.0,9.0,9.0,5868.0,5868.0,11213.547,11198.58,11286.997,11272.03,-14.967000000000553
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,minimal_plus_bmi,11.44,11.44,573.0,573.0,9.0,9.0,5008.0,5008.0,8996.54,8973.585,9074.765,9051.81,-22.955000000001746
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,All-cause mortality,expanded_core,6.83,6.83,317.0,317.0,12.0,12.0,4638.0,4638.0,4716.837,4717.423,4826.352,4814.054,0.5859999999993306
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,All-cause mortality,minimal_core,6.83,6.83,317.0,317.0,12.0,12.0,4639.0,4639.0,4722.708,4724.621,4806.457,4795.485,1.9130000000004657
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,minimal_core,55.45,,5569.0,,15.88,,10043.0,,90994.079,,91102.299,,
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,minimal_plus_bmi,55.51,55.51,5458.0,5458.0,15.88,15.88,9832.0,9832.0,88943.161,88757.975,89058.255,88858.683,-185.18599999998696
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,All-cause mortality,minimal_core,34.44,34.44,2231.0,2231.0,17.0,17.0,6477.0,6477.0,35223.671,35298.684,35311.76,35373.22,75.01299999999901
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,expanded_core,24.56,24.56,3056.0,3056.0,11.0,11.0,12444.0,12444.0,48225.501,48285.484,48351.794,48404.348,59.983000000000175
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,minimal_core,24.69,24.69,3198.0,3198.0,11.0,11.0,12952.0,12952.0,50667.415,50749.459,50764.512,50839.087,82.04400000000169
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,minimal_plus_bmi,24.19,24.19,3051.0,3051.0,11.0,11.0,12613.0,12613.0,48151.47,48233.531,48255.664,48330.283,82.06100000000151
