analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,adjustment_description,n,events,event_pct,median_followup_time_years,max_followup_time_years,log_likelihood,partial_aic,partial_bic,reference,covariates
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,Age + education + marital status + smoking + drinking,3990,726,18.2,10.0,10.88,-5118.313883,10258.628,10327.835,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,Age + education + marital status + smoking + drinking,5868,703,11.98,9.0,9.29,-5595.773734,11213.547,11286.997,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,Age + education + marital status + smoking + drinking,4639,317,6.83,12.0,17.0,-2348.353982,4722.708,4806.457,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,All-cause mortality,endotype,minimal_core,Age + education + marital status + smoking + drinking,10043,5569,55.45,15.88,21.29,-45482.039739,90994.079,91102.299,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,All-cause mortality,endotype,minimal_core,Age + education + marital status + smoking + drinking,6477,2231,34.44,17.0,18.0,-17598.835738,35223.671,35311.76,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,endotype,minimal_core,Age + education + marital status + smoking + drinking,12952,3198,24.69,11.0,17.96,-25320.707261,50667.415,50764.512,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,All-cause mortality,endotype,expanded_core,Minimal core + rural/region + physical activity,4638,317,6.83,12.0,17.0,-2341.418684,4716.837,4826.352,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_rural_region_raw;cov_physical_activity_raw
strict_earliest_primary,strict_primary,SHARE,all_cause_mortality,All-cause mortality,endotype,expanded_core,Minimal core + rural/region + physical activity,12444,3056,24.56,11.0,17.96,-24095.750399,48225.501,48351.794,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_rural_region_raw;cov_physical_activity_raw
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_plus_bmi,Minimal core + BMI,3868,674,17.43,10.0,10.88,-4721.31136,9466.623,9541.749,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_bmi
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_plus_bmi,Minimal core + BMI,5008,573,11.44,9.0,9.29,-4486.269912,8996.54,9074.765,1,age;cov_education_raw;cov_marital_status_raw;cov_smoking_raw;cov_drinking_raw;cov_bmi
