analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_hr,hr,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-0.057057,0.9445,0.7871,1.1334,0.539616
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.264336,1.3026,1.0858,1.5626,0.004428
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-0.111654,0.8944,0.6423,1.2453,0.508577
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.375252,0.6871,0.2824,1.6721,0.408224
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.4.0],4.0,1,1.141321,3.1309,1.2869,7.6174,0.011871
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,0.518048,1.6787,0.8272,3.407,0.151411
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,0.352163,1.4221,1.1855,1.706,0.000149
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.rare_or_sparse],rare_or_sparse,1,0.080237,1.0835,0.2685,4.3721,0.910243
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.346319,1.4139,1.0319,1.9373,0.031156
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,0.093513,1.098,0.8776,1.3738,0.413338
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,All-cause mortality,endotype,minimal_core,age,age,1,0.102692,1.1081,1.0971,1.1193,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.174898,1.1911,0.9458,1.5,0.137106
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.601019,1.824,1.5376,2.1638,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_education_raw)[T.2.0],2.0,1,-0.554146,0.5746,0.331,0.9975,0.048958
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_education_raw)[T.3.0],3.0,1,-0.327364,0.7208,0.2987,1.7395,0.46641
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.2.0],2.0,1,-0.235651,0.7901,0.4443,1.4049,0.422355
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.5.0],5.0,1,-0.205533,0.8142,0.2026,3.2718,0.772102
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.7.0],7.0,1,0.195772,1.2162,1.0213,1.4483,0.028019
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_marital_status_raw)[T.rare_or_sparse],rare_or_sparse,1,0.041837,1.0427,0.3347,3.2484,0.942472
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.287289,1.3328,1.0389,1.7099,0.023814
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,All-cause mortality,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,0.037873,1.0386,0.8507,1.268,0.709891
