table_id,table_title,row_type,endpoint,cohort,analysis_tier,class_id,adjustment,n_endotype,events_endotype,comparison_metric,comparison_value,secondary_metric,secondary_value,interpretation_note
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,KLoSA,bridge_sensitivity,,minimal_core,3834,1144,delta_aic_severity_tertile_minus_endotype,7.0900000000001455,delta_auc_endotype_minus_severity,0.0014,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,KLoSA,bridge_sensitivity,,minimal_plus_bmi,3717,1098,delta_aic_severity_tertile_minus_endotype,2.5349999999998545,delta_auc_endotype_minus_severity,-0.0018,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,SHARE,bridge_sensitivity,,expanded_core,19337,2922,delta_aic_severity_tertile_minus_endotype,75.3690000000006,delta_auc_endotype_minus_severity,0.0048,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,SHARE,bridge_sensitivity,,minimal_core,20243,3083,delta_aic_severity_tertile_minus_endotype,72.9369999999999,delta_auc_endotype_minus_severity,0.0044999999999999,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,SHARE,bridge_sensitivity,,minimal_plus_bmi,19753,2944,delta_aic_severity_tertile_minus_endotype,60.73199999999997,delta_auc_endotype_minus_severity,0.0039999999999998,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,CHARLS,strict_primary,,minimal_core,5687,1765,delta_aic_severity_tertile_minus_endotype,5.249000000000706,delta_auc_endotype_minus_severity,-0.0016,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,CHARLS,strict_primary,,minimal_plus_bmi,4871,1543,delta_aic_severity_tertile_minus_endotype,-3.520999999999731,delta_auc_endotype_minus_severity,-0.0033999999999999,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,ELSA,strict_primary,,expanded_core,4561,1180,delta_aic_severity_tertile_minus_endotype,-8.942000000000007,delta_auc_endotype_minus_severity,-0.0014999999999999,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,ELSA,strict_primary,,minimal_core,4562,1180,delta_aic_severity_tertile_minus_endotype,-17.827000000000226,delta_auc_endotype_minus_severity,-0.0026999999999999,Positive delta AIC favors the endotype model over the severity-tertile comparator.
S1a,Functional deterioration covariate-sensitivity model comparison,model_comparison,Functional deterioration >= 0.5 SD,HRS,strict_primary,,minimal_core,9430,3546,delta_aic_severity_tertile_minus_endotype,-27.98400000000038,delta_auc_endotype_minus_severity,-0.0039,Positive delta AIC favors the endotype model over the severity-tertile comparator.
