cohort,class_id,class,figure_label_short,label_en_display,phase16_label_status,phase16_marker,phase15_display_recommendation,figure1_policy,phase16_figure1_main_use,phase16_figure1_sensitivity_use,functional_deterioration_ge_0_5sd_event_pct,death_pct
CHARLS,CHARLS_C1,1,C1: intermediate severity*,intermediate-burden severity-aligned [review],review_required_not_locked,*,main_results,main_panel,1,1,32.71,8.94
CHARLS,CHARLS_C2,2,C2: elevated severity*,elevated-burden severity-aligned [review],review_required_not_locked,*,main_results,main_panel,1,1,29.88,13.31
CHARLS,CHARLS_C3,3,C3: functional high,functional-dominant high-burden,locked_for_draft,,main_results,main_panel,1,1,23.43,25.7
ELSA,ELSA_C1,1,C1: intermediate spared cardiomet,intermediate-burden with spared cardiometabolic,locked_for_draft,,main_results,main_panel,1,1,18.54,2.89
ELSA,ELSA_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,locked_for_draft,,main_results,main_panel,1,1,25.93,5.97
ELSA,ELSA_C3,3,C3: elevated severity*,elevated-burden severity-aligned [review],review_required_not_locked,*,main_results,main_panel,1,1,37.5,11.72
ELSA,ELSA_C4,4,C4: cardiomet elevated,cardiometabolic-dominant elevated-burden,locked_for_draft,,main_results,main_panel,1,1,43.89,12.91
ELSA,ELSA_C5,5,C5: functional high*,functional-dominant high-burden [review],review_required_not_locked,*,main_results,main_panel,1,1,28.1,15.05
HRS,HRS_C1,1,C1: low spared cardiomet,low-burden with spared cardiometabolic,locked_for_draft,,main_results,main_panel,1,1,26.56,36.64
HRS,HRS_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,locked_for_draft,,main_results,main_panel,1,1,42.76,61.53
HRS,HRS_C3,3,C3: elevated severity*,elevated-burden severity-aligned [review],review_required_not_locked,*,main_results,main_panel,1,1,49.67,73.92
HRS,HRS_C4,4,C4: affective elevated*,affective-dominant elevated-burden [review],review_required_not_locked,*,main_results,main_panel,1,1,45.9,68.1
HRS,HRS_C5,5,C5: functional high*,functional-dominant high-burden [review],review_required_not_locked,*,main_results,main_panel,1,1,42.62,79.75
LASI,LASI_C1,1,C1: intermediate spared cardiomet [hold],intermediate-burden with spared cardiometabolic [baseline-only],baseline_only_hold,hold,baseline_profile_table_only,table_or_supplement_profile_only,0,1,,
LASI,LASI_C2,2,C2: cardiomet intermediate [hold],cardiometabolic-dominant intermediate-burden [baseline-only],baseline_only_hold,hold,baseline_profile_table_only,table_or_supplement_profile_only,0,1,,
LASI,LASI_C3,3,C3: cardiomet elevated [hold],cardiometabolic-dominant elevated-burden [baseline-only],baseline_only_hold,hold,baseline_profile_table_only,table_or_supplement_profile_only,0,1,,
MHAS,MHAS_C1,1,C1: intermediate spared cardiomet,intermediate-burden with spared cardiometabolic,locked_for_draft,,main_results,main_panel,1,1,19.88,23.67
MHAS,MHAS_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,locked_for_draft,,main_results,main_panel,1,1,28.85,32.02
MHAS,MHAS_C3,3,C3: cardiomet elevated,cardiometabolic-dominant elevated-burden,locked_for_draft,,main_results,main_panel,1,1,37.14,50.55
MHAS,MHAS_C4,4,C4: functional elevated,functional-dominant elevated-burden,locked_for_draft,,main_results,main_panel,1,1,29.3,58.81
MHAS,MHAS_C5,5,C5: functional elevated,functional-dominant elevated-burden,locked_for_draft,,main_results,main_panel,1,1,34.03,55.51
KLoSA,KLoSA_C1,1,C1: intermediate spared cardiomet,intermediate-burden with spared cardiometabolic,locked_for_draft,,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,27.01,12.68
KLoSA,KLoSA_C2,2,C2: cardiomet intermediate*,cardiometabolic-dominant intermediate-burden [review],review_required_not_locked,*,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,35.69,15.79
KLoSA,KLoSA_C3,3,C3: functional/cardiomet high,functional/cardiometabolic-dominant high-burden,locked_for_draft,,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,25.21,39.72
SHARE,SHARE_C1,1,C1: low spared cardiomet,low-burden with spared cardiometabolic,locked_for_draft,,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,8.36,3.8
SHARE,SHARE_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,locked_for_draft,,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,14.79,9.02
SHARE,SHARE_C3,3,C3: affective intermediate,affective-dominant intermediate-burden,locked_for_draft,,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,14.9,8.5
SHARE,SHARE_C4,4,C4: elevated with spared functional*,elevated-burden with spared functional [review],review_required_not_locked,*,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,28.64,27.21
SHARE,SHARE_C5,5,C5: functional/cognitive-dominant high*,functional/cognitive-dominant high-burden [review],review_required_not_locked,*,sensitivity_or_supplement_default,sensitivity_panel_default,0,1,16.73,41.05
