cohort,class_id,class,phase18_figure_label_short_v0,phase18_label_en_display_v0,phase18_decision_v0,human_signoff_required,functional_deterioration_ge_0_5sd_event_pct,death_pct,phase18_figure1_main_use,phase18_figure1_sensitivity_use
CHARLS,CHARLS_C1,1,C1: broad intermediate profile [signoff],broad intermediate-burden profile [signoff],auto_renamed_conservative,1,32.71,8.94,1,1
CHARLS,CHARLS_C2,2,C2: broad elevated profile [signoff],broad elevated-burden profile [signoff],auto_renamed_conservative,1,29.88,13.31,1,1
CHARLS,CHARLS_C3,3,C3: functional high,functional-dominant high-burden,accepted_from_phase16,0,23.43,25.7,1,1
ELSA,ELSA_C1,1,C1: intermediate spared cardiomet,intermediate-burden with spared cardiometabolic,accepted_from_phase16,0,18.54,2.89,1,1
ELSA,ELSA_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,0,25.93,5.97,1,1
ELSA,ELSA_C3,3,C3: broad elevated profile [signoff],broad elevated-burden profile [signoff],auto_renamed_conservative,1,37.5,11.72,1,1
ELSA,ELSA_C4,4,C4: cardiomet elevated,cardiometabolic-dominant elevated-burden,accepted_from_phase16,0,43.89,12.91,1,1
ELSA,ELSA_C5,5,C5: functional high [cav],functional-dominant high-burden [caveat],locked_with_caveat_auto_v0,1,28.1,15.05,1,1
HRS,HRS_C1,1,C1: low spared cardiomet,low-burden with spared cardiometabolic,accepted_from_phase16,0,26.56,36.64,1,1
HRS,HRS_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,0,42.76,61.53,1,1
HRS,HRS_C3,3,C3: elevated severity-aligned [cav],elevated-burden severity-aligned [caveat],locked_with_caveat_auto_v0,1,49.67,73.92,1,1
HRS,HRS_C4,4,C4: affective elevated [cav],affective-dominant elevated-burden [caveat],locked_with_caveat_auto_v0,1,45.9,68.1,1,1
HRS,HRS_C5,5,C5: functional high [cav],functional-dominant high-burden [caveat],locked_with_caveat_auto_v0,1,42.62,79.75,1,1
MHAS,MHAS_C1,1,C1: intermediate spared cardiomet,intermediate-burden with spared cardiometabolic,accepted_from_phase16,0,19.88,23.67,1,1
MHAS,MHAS_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,0,28.85,32.02,1,1
MHAS,MHAS_C3,3,C3: cardiomet elevated,cardiometabolic-dominant elevated-burden,accepted_from_phase16,0,37.14,50.55,1,1
MHAS,MHAS_C4,4,C4: functional elevated,functional-dominant elevated-burden,accepted_from_phase16,0,29.3,58.81,1,1
MHAS,MHAS_C5,5,C5: functional elevated,functional-dominant elevated-burden,accepted_from_phase16,0,34.03,55.51,1,1
KLoSA,KLoSA_C1,1,C1: intermediate spared cardiomet,intermediate-burden with spared cardiometabolic,accepted_from_phase16,0,27.01,12.68,0,1
KLoSA,KLoSA_C2,2,C2: cardiomet intermediate [cav],cardiometabolic-dominant intermediate-burden [caveat],locked_with_caveat_auto_v0,1,35.69,15.79,0,1
KLoSA,KLoSA_C3,3,C3: functional/cardiomet high,functional/cardiometabolic-dominant high-burden,accepted_from_phase16,0,25.21,39.72,0,1
SHARE,SHARE_C1,1,C1: low spared cardiomet,low-burden with spared cardiometabolic,accepted_from_phase16,0,8.36,3.8,0,1
SHARE,SHARE_C2,2,C2: cardiomet intermediate,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,0,14.79,9.02,0,1
SHARE,SHARE_C3,3,C3: affective intermediate,affective-dominant intermediate-burden,accepted_from_phase16,0,14.9,8.5,0,1
SHARE,SHARE_C4,4,C4: elevated spared functional [cav],elevated-burden with spared functional [caveat],locked_with_caveat_auto_v0,1,28.64,27.21,0,1
SHARE,SHARE_C5,5,C5: func/cog high [cav],functional/cognitive-dominant high-burden [caveat],locked_with_caveat_auto_v0,1,16.73,41.05,0,1
LASI,LASI_C1,1,C1: intermediate spared cardiomet [hold],intermediate-burden with spared cardiometabolic [baseline-only],baseline_only_hold,1,,,0,1
LASI,LASI_C2,2,C2: cardiomet intermediate [hold],cardiometabolic-dominant intermediate-burden [baseline-only],baseline_only_hold,1,,,0,1
LASI,LASI_C3,3,C3: cardiomet elevated [hold],cardiometabolic-dominant elevated-burden [baseline-only],baseline_only_hold,1,,,0,1
