check,status,details
file_present:bmc_geriatrics_main.tex,pass,manuscript/bmc_geriatrics_submission_declarations_ready/bmc_geriatrics_main.tex
file_present:bmc_geriatrics_refs.bib,pass,manuscript/bmc_geriatrics_submission_declarations_ready/bmc_geriatrics_refs.bib
file_present:additional_file_1_class_profiles.csv,pass,manuscript/bmc_geriatrics_submission_declarations_ready/additional_file_1_class_profiles.csv
file_present:additional_file_2_outcome_validation.csv,pass,manuscript/bmc_geriatrics_submission_declarations_ready/additional_file_2_outcome_validation.csv
file_present:bmc_geriatrics_cover_letter.md,pass,manuscript/bmc_geriatrics_submission_declarations_ready/bmc_geriatrics_cover_letter.md
file_present:figure1_main_validation.png,pass,manuscript/bmc_geriatrics_submission_declarations_ready/figure1_main_validation.png
file_present:figure1_seven_cohort_sensitivity.png,pass,manuscript/bmc_geriatrics_submission_declarations_ready/figure1_seven_cohort_sensitivity.png
file_present:sn-jnl.cls,pass,manuscript/bmc_geriatrics_submission_declarations_ready/sn-jnl.cls
file_present:sn-vancouver-num.bst,pass,manuscript/bmc_geriatrics_submission_declarations_ready/sn-vancouver-num.bst
author_input_placeholders_remaining,needs_author_input,5
policy_decision_placeholders_remaining,needs_policy_decision,1
data_portal_urls_present,pass,Seven cohort URLs checked in TeX.
repository_url_placeholder_remaining,needs_author_input,1
author_initials_placeholders_remaining,needs_author_input,4
editorial_placeholders_remaining,needs_author_input,[AUTHOR INPUT REQUIRED]; [Confirm that no identifiable participant information is included.]; [Initials]; [POLICY DECISION REQUIRED]; [repository URL]
