source_path,source_layer,wave_hint,file_type,variable,variable_label,candidate_category,qualifies_for_strict_functional,nonmissing,sample_values,has_mergeid,strict_wave1_evidence
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_health.dta,raw_share_release,1,dta,adl,Number of limitations with activities of daily living (adl),strict_adl_iadl,1,30270,0.0|3.0|1.0|2.0,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_health.dta,raw_share_release,1,dta,adl2,1+ adl limitations,strict_adl_iadl,1,30270,0.0|1.0,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_health.dta,raw_share_release,1,dta,iadl,Limitations with instrumental activities of daily living (iadl),strict_adl_iadl,1,30270,0.0|3.0|6.0|5.0|1.0|2.0,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_health.dta,raw_share_release,1,dta,iadl2,1+ iadl limitations,strict_adl_iadl,1,30270,0.0|1.0,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_imputations.dta,raw_share_release,1,dta,adl,Limitations with activities of daily living,strict_adl_iadl,1,152080,0|3|1|2,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_imputations.dta,raw_share_release,1,dta,adl_f,Limitations with activities of daily living - Flag,strict_adl_iadl,1,152080,3,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_imputations.dta,raw_share_release,1,dta,iadl,Limitations with instrumental activities of daily living,strict_adl_iadl,1,152080,0|3|6,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Wave 1 Release 9.0.0/sharew1_rel9-0-0_gv_imputations.dta,raw_share_release,1,dta,iadl_f,Limitations with instrumental activities of daily living - Flag,strict_adl_iadl,1,152080,3,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1.dta,temp_data,1,dta,adl,Limitations with activities of daily living,strict_adl_iadl,1,30416,0|3|1|2,1,1
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Temp_data/share_wave1.dta,temp_data,1,dta,adl2,1+ adl limitations,strict_adl_iadl,1,30270,0.0|1.0,1,1
