analysis_set,analysis_tier,manuscript_role,cohort,wave,domain,source_tier,variables,nonmissing_n,nonmissing_pct,complete_four_domain_n,baseline_women_age50plus_n
functional_bridge_earliest_sensitivity,bridge_sensitivity,bridge_sensitivity_validation,KLoSA,3,functional,bridge,gripsum+gripcomp+fall,4344,100.0,4081,4344
functional_bridge_earliest_sensitivity,bridge_sensitivity,bridge_sensitivity_validation,KLoSA,3,cognitive,primary,,4115,94.73,4081,4344
functional_bridge_earliest_sensitivity,bridge_sensitivity,bridge_sensitivity_validation,KLoSA,3,affective,primary,cesd10a,4305,99.1,4081,4344
functional_bridge_earliest_sensitivity,bridge_sensitivity,bridge_sensitivity_validation,KLoSA,3,cardiometabolic_chronic,primary,hibpe+diabe+hearte+stroke+cancre,4344,100.0,4081,4344
strict_earliest_primary,strict_primary,primary_validation,CHARLS,1,functional,primary,iadl,6818,99.13,6019,6878
strict_earliest_primary,strict_primary,primary_validation,CHARLS,1,cognitive,primary,total_cognition,6024,87.58,6019,6878
strict_earliest_primary,strict_primary,primary_validation,CHARLS,1,affective,primary,cesd10,6384,92.82,6019,6878
strict_earliest_primary,strict_primary,primary_validation,CHARLS,1,cardiometabolic_chronic,primary,hibpe+diabe+hearte+stroke+dyslipe+cancre,6827,99.26,6019,6878
strict_earliest_primary,strict_primary,primary_validation,ELSA,1,functional,primary,adltot6+iadltot2_e,6198,98.51,6104,6292
strict_earliest_primary,strict_primary,primary_validation,ELSA,1,cognitive,primary,imrc+dlrc+orient,6136,97.52,6104,6292
strict_earliest_primary,strict_primary,primary_validation,ELSA,1,affective,primary,cesd,6109,97.09,6104,6292
strict_earliest_primary,strict_primary,primary_validation,ELSA,1,cardiometabolic_chronic,primary,hibpe+diabe+hearte+stroke+hchole+cancre,6288,99.94,6104,6292
strict_earliest_primary,strict_primary,primary_validation,HRS,5,functional,primary,adl6a,10989,99.85,10202,11005
strict_earliest_primary,strict_primary,primary_validation,HRS,5,cognitive,primary,cog27,10214,92.81,10202,11005
strict_earliest_primary,strict_primary,primary_validation,HRS,5,affective,primary,cesd,10210,92.78,10202,11005
strict_earliest_primary,strict_primary,primary_validation,HRS,5,cardiometabolic_chronic,primary,hibpe+diabe+hearte+stroke+hchole+cancre,11005,100.0,10202,11005
strict_earliest_primary,strict_primary,baseline_profile_only_current_csv,LASI,all_rows_no_wave,functional,primary,r1adltot6+r1iadltot_l,28078,99.69,27433,28165
strict_earliest_primary,strict_primary,baseline_profile_only_current_csv,LASI,all_rows_no_wave,cognitive,primary,r1cog_total,27817,98.76,27433,28165
strict_earliest_primary,strict_primary,baseline_profile_only_current_csv,LASI,all_rows_no_wave,affective,primary,r1cesd10,27442,97.43,27433,28165
strict_earliest_primary,strict_primary,baseline_profile_only_current_csv,LASI,all_rows_no_wave,cardiometabolic_chronic,primary,r1hibpe+r1diabe+r1hearte+r1stroke+r1hchole+r1cancre,28115,99.82,27433,28165
strict_earliest_primary,strict_primary,primary_validation,MHAS,1,functional,primary,adltot6+iadlfour,6988,93.92,6733,7440
strict_earliest_primary,strict_primary,primary_validation,MHAS,1,cognitive,primary,imrc8+dlrc8+ser7+orient_m,6899,92.73,6733,7440
strict_earliest_primary,strict_primary,primary_validation,MHAS,1,affective,primary,cesd_m,6969,93.67,6733,7440
strict_earliest_primary,strict_primary,primary_validation,MHAS,1,cardiometabolic_chronic,primary,hibpe+diabe+hearte+stroke+cancre,7285,97.92,6733,7440
strict_earliest_primary,strict_primary,primary_validation,SHARE,1,functional,primary,adl+iadl,15814,100.0,15721,15814
strict_earliest_primary,strict_primary,primary_validation,SHARE,1,cognitive,primary,imrc+dlrc+orient+ser7+numer_s,15730,99.47,15721,15814
strict_earliest_primary,strict_primary,primary_validation,SHARE,1,affective,primary,eurod,15814,100.0,15721,15814
strict_earliest_primary,strict_primary,primary_validation,SHARE,1,cardiometabolic_chronic,primary,hibpe+diabe+hearte+stroke+hchole+cancre,15740,99.53,15721,15814
