file,bytes
README_BMC_Geriatrics_reviewer_ready.md,727
additional_file_1_domain_harmonization_dictionary.csv,4002
additional_file_2_gmm_selection_table.csv,5231
additional_file_3_outcome_validation_metrics.csv,4540
additional_file_4_mortality_sensitivity_guardrails.csv,1064
additional_file_5_share_strict_functional_audit.csv,1823962
additional_file_6_outcome_model_specification.csv,1074
bmc_geriatrics_cover_letter.md,1275
bmc_geriatrics_main.pdf,1239676
bmc_geriatrics_main.tex,16503
bmc_geriatrics_refs.bib,1480
figure1_main_validation.png,1068466
sn-jnl.cls,55857
sn-vancouver-num.bst,40758
