analysis_set,analysis_tier,cohort,wave,n_classes,lfo_profile_class,class_n,class_pct,mean_posterior,lfo_severity_score,lfo_severity_sd,baseline_functional_score_mean,cognitive_score,affective_score,cardiometabolic_chronic_score,profile_label,high_domains_vs_class_severity,spared_domains_vs_class_severity
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,2,1,2234,54.74,0.8858,-0.4894,0.3267,-0.3339,-0.6108,-0.3749,-0.4826,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,2,2,1847,45.26,0.9433,0.5655,0.5799,0.3719,0.7298,0.406,0.5607,high_burden_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,1,1999,48.98,1.0,-0.4025,0.5083,-0.1542,-0.1739,-0.1734,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,2,1370,33.57,1.0,0.1307,0.5205,0.0351,0.0727,0.0059,0.3134,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,3,712,17.45,1.0,0.8101,0.6313,0.2827,0.3251,0.3525,1.7526,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,1,1999,48.98,1.0,-0.4025,0.5083,-0.1542,-0.1739,-0.1734,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,2,1370,33.57,1.0,0.1307,0.5205,0.0351,0.0727,0.0059,0.3134,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,3,567,13.89,1.0,0.6917,0.5782,0.2551,0.3031,0.2848,1.4872,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,4,145,3.55,1.0,1.273,0.6186,0.3908,0.4111,0.6173,2.7905,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,1,1999,48.98,1.0,-0.4025,0.5083,-0.1542,-0.1739,-0.1734,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,2,1370,33.57,1.0,0.1307,0.5205,0.0351,0.0727,0.0059,0.3134,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,3,567,13.89,1.0,0.6917,0.5782,0.2551,0.3031,0.2848,1.4872,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,4,129,3.16,1.0,1.218,0.6042,0.3289,0.4424,0.5504,2.661,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
