analysis_set,analysis_tier,cohort,wave,profile_design,profile_domains,n,n_classes,bic,aic,lower_bound,converged,n_iter,entropy_separation,mean_max_posterior,min_class_n,min_class_pct,profile_interpretation,max_domain_deviation_from_lfo_severity
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,4081,2,31591.46,31471.49,-3.851902,1,12,0.6848,0.9118,1847,45.26,mostly_severity_gradient,0.1643
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,4081,3,-8425.05,-8608.16,1.061769,1,20,0.9999,1.0,712,17.45,domain_specific,0.9425
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,4081,4,-15470.09,-15716.34,1.935107,1,12,1.0,1.0,145,3.55,domain_specific,1.5175
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,4081,5,-17148.21,-17457.6,2.150894,1,18,1.0,1.0,16,0.39,domain_specific,2.1182
strict_earliest_primary,strict_primary,CHARLS,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6019,2,9459.5,9332.15,-0.772067,1,28,0.9988,0.9999,2712,45.06,domain_specific,0.6046
strict_earliest_primary,strict_primary,CHARLS,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6019,3,-10171.78,-10366.16,0.865938,1,27,0.9996,1.0,1122,18.64,domain_specific,1.1733
strict_earliest_primary,strict_primary,CHARLS,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6019,4,-10335.86,-10597.27,0.886613,1,22,0.9511,0.9705,574,9.54,domain_specific,1.1733
strict_earliest_primary,strict_primary,CHARLS,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6019,5,-18660.46,-18988.89,1.585227,1,25,0.9719,0.9795,277,4.6,domain_specific,1.5987
strict_earliest_primary,strict_primary,ELSA,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6105,2,47051.31,46923.69,-3.840442,1,11,0.7044,0.9215,2692,44.1,mostly_severity_gradient,0.242
strict_earliest_primary,strict_primary,ELSA,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6105,3,-14432.5,-14627.29,1.202703,1,18,0.9998,1.0,908,14.87,domain_specific,1.0716
strict_earliest_primary,strict_primary,ELSA,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6105,4,-23346.16,-23608.11,1.939892,1,14,0.9999,1.0,198,3.24,domain_specific,1.5934
strict_earliest_primary,strict_primary,ELSA,1,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,6105,5,-15611.4,-15940.52,1.312856,1,20,0.9109,0.9393,347,5.68,domain_specific,1.0716
strict_earliest_primary,strict_primary,HRS,5,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,10210,2,78661.19,78523.8,-3.843947,1,18,0.7035,0.9228,4905,48.04,mostly_severity_gradient,0.2894
strict_earliest_primary,strict_primary,HRS,5,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,10210,3,38927.56,38717.85,-1.893422,1,36,0.8776,0.9449,3075,30.12,domain_specific,0.5941
strict_earliest_primary,strict_primary,HRS,5,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,10210,4,-29806.29,-30088.31,1.477292,1,26,1.0,1.0,794,7.78,domain_specific,1.1741
strict_earliest_primary,strict_primary,HRS,5,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,10210,5,-30301.32,-30655.65,1.505214,1,16,0.9896,0.994,467,4.57,domain_specific,1.1741
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,27438,2,28402.68,28246.51,-0.514041,1,7,0.9992,0.9999,11497,41.9,domain_specific,0.6973
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,27438,3,-70697.97,-70936.34,1.293723,1,18,0.9999,1.0,3712,13.53,domain_specific,1.4268
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,leave_functional_domain_out,cognitive_score+affective_score+cardiometabolic_chronic_score,27438,4,-108041.84,-108362.41,1.976099,1,11,1.0,1.0,770,2.81,domain_specific,2.2055
