analysis_set,analysis_tier,cohort,wave,n,n_classes,reference_bic,reference_entropy_separation,reference_mean_max_posterior,ordered_class,raw_component,component_weight,min_covariance_eigenvalue,max_covariance_eigenvalue,covariance_condition_number,covariance_determinant,near_singular_covariance_flag,mean_functional_score,mean_cognitive_score,mean_affective_score,mean_cardiometabolic_chronic_score
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,1,0,0.486286,1e-06,1.364626539221663,1364626.539221663,3.0669180829094157e-07,1,-0.1893,-0.1827,-0.1805,-0.8603
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,2,2,0.337266,0.10862456279466465,0.7461517510472706,6.869088646715544,0.008614642015603963,0,-0.3028,-0.2019,-0.1508,0.5724
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,3,1,0.176448,0.7061986054764644,2.0655204694344227,2.924843596994699,2.7626685214670275,0,1.0186,0.8664,0.6641,1.2179
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,1,1,0.734172,1e-06,1.1021146810134466,1102114.6810134465,6.826012547543223e-07,1,-0.5196,-0.1505,-0.1997,-0.056
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,2,2,0.114109,1e-06,1.1995239855081974,1199523.9855081975,9.309651637716644e-07,1,0.2715,0.2962,0.2228,0.0945
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,3,0,0.151719,0.5755435010498475,1.391188554949637,2.4171735974986657,0.7525799391334911,0,1.837,0.5855,0.7003,0.2395
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,1,2,0.426605,1e-06,0.849515631875145,849515.631875145,5.982267732383082e-13,1,-0.4212,-0.1999,-0.1985,-0.8399
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,2,0,0.273259,1e-06,0.9561376175434374,956137.6175434374,6.514520009721313e-13,1,-0.4212,-0.0594,-0.1414,0.3817
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,3,4,0.102204,1e-06,1.354678365229194,1354678.365229194,1.2624286187680717e-06,1,0.5706,0.301,0.3121,0.2975
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,4,1,0.089943,1e-06,1.2708617190705433,1270861.7190705433,3.0282389029636697e-07,1,-0.4212,0.2046,0.0297,1.8279
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,5,3,0.107988,1.0274787951396795,1.7701968321762418,1.7228548565185662,3.0070143076675517,0,2.4799,0.3864,0.8249,0.4786
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,1,4,0.352401,9.99999999956989e-07,0.8576923222446916,857692.3222815817,5.269779475427878e-13,1,-0.4133,-0.2965,-0.2705,-0.9894
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,2,1,0.462243,1e-06,1.0914495245720348,1091449.5245720348,3.9341960961036167e-07,1,-0.4133,0.0134,-0.0723,0.4768
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,3,3,0.092432,1e-06,1.518608726468007,1518608.726468007,1.3985727287140892e-06,1,0.3953,0.4139,0.4628,0.4211
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,4,2,0.040472,1e-06,1.443966111182191,1443966.1111821912,1.3782478903283761e-06,1,1.2039,0.5072,0.7113,0.524
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,5,0,0.052452,0.6053602242220125,1.4228706563140263,2.3504528368091067,1.1829031184303873,0,2.7527,0.7375,1.0761,0.6449
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,1,0,0.539013,1e-06,1.1941115546810002,1194111.5546810003,4.833318793899044e-07,1,-0.1199,0.0905,-0.0199,-0.7258
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,2,2,0.239223,1e-06,1.078032524435004,1078032.524435004,6.787082251883274e-07,1,-0.6137,-0.348,-0.1292,0.7132
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,3,1,0.221764,0.7230342954579172,1.9602635812931273,2.711162656609033,1.111111147569423,0,0.8224,0.1562,0.1879,0.9828
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,1,1,0.403817,1e-06,1.0663385818603515,1066338.5818603516,8.73464904050351e-13,1,-0.323,-0.101,-0.2616,-0.955
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,2,2,0.405181,1.00244693723325e-06,1.021588191053644,1019094.5307022671,3.211650928126054e-07,1,-0.323,-0.0538,-0.0029,0.7486
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,3,0,0.034962,0.012716373666581958,2.0972132771110115,164.9222751783703,0.02130764929563144,0,0.377,0.1299,0.3928,0.1246
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,4,4,0.101157,1e-06,2.533332397630059,2533332.3976300587,2.209732267083599e-06,1,1.0998,0.2646,0.5931,0.4219
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,5,3,0.054883,0.7132927421803288,3.579749399233931,5.018625856603666,6.5877426804868815,0,2.572,0.4531,0.6834,0.4917
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,1,3,0.412658,1e-06,0.8235441881061434,823544.1881061434,1.0580371115220746e-08,1,-0.3167,-0.2635,-0.2501,-0.8698
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,2,1,0.386209,1e-06,0.9275800212109956,927580.0212109956,2.659090900382517e-07,1,-0.366,-0.1223,-0.0865,0.6007
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,3,0,0.122298,0.14789342812052658,1.134102852774109,7.668378961706571,0.08772252718333295,0,0.4508,0.2374,0.4657,0.5809
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,4,2,0.078836,1.2005959292476034,3.581837356002314,2.9833828923999444,15.391459635788529,0,2.7206,1.6036,0.9968,0.7148
