analysis_set,analysis_tier,cohort,outcome,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,Intercept,Intercept,1,-2.291747,0.1011,0.0628,0.1627,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.328679,1.3891,1.1919,1.6191,2.6e-05
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-0.308623,0.7345,0.586,0.9206,0.00741
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,age,age,1,0.020592,1.0208,1.0134,1.0283,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,Intercept,Intercept,1,-4.612563,0.0099,0.0063,0.0156,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-0.26448,0.7676,0.6377,0.9239,0.005166
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,-0.801893,0.4485,0.3729,0.5393,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,age,age,1,0.063504,1.0656,1.0578,1.0734,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,Intercept,Intercept,1,-6.673305,0.0013,0.0008,0.002,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.166674,1.1814,0.9973,1.3994,0.053755
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,endotype_lowest_burden_reference,age_adjusted,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.390178,1.4772,1.1743,1.8584,0.000864
