cohort,term_label,reference,reference_class_id,reference_caution,uniform_reference_or,uniform_reference_ci_low,uniform_reference_ci_high,original_c1_reference_or,original_c1_reference_ci_low,original_c1_reference_ci_high,direction_changed_vs_original
KLoSA,2,1,KLoSA_C1,true_low_burden_reference,1.3891,1.1919,1.6191,1.3952,1.1957,1.628,0
KLoSA,3,1,KLoSA_C1,true_low_burden_reference,0.7345,0.586,0.9206,0.7328,0.584,0.9195,0
CHARLS,2,1,CHARLS_C1,lowest_available_reference_not_strict_low_burden,0.7676,0.6377,0.9239,0.7353,0.6104,0.8857,0
CHARLS,3,1,CHARLS_C1,lowest_available_reference_not_strict_low_burden,0.4485,0.3729,0.5393,0.4367,0.3631,0.5253,0
ELSA,2,1,ELSA_C1,true_low_burden_reference,1.1814,0.9973,1.3994,1.1297,0.9421,1.3546,0
ELSA,3,1,ELSA_C1,true_low_burden_reference,1.4772,1.1743,1.8584,1.4422,1.1279,1.8442,0
ELSA,4,1,ELSA_C1,true_low_burden_reference,2.1183,1.68,2.671,2.041,1.5893,2.621,0
ELSA,5,1,ELSA_C1,true_low_burden_reference,0.9378,0.7377,1.1922,0.8475,0.6574,1.0927,0
HRS,2,1,HRS_C1,true_low_burden_reference,1.6744,1.5121,1.8542,1.607,1.4494,1.7816,0
HRS,3,1,HRS_C1,true_low_burden_reference,1.9187,1.6205,2.2718,1.7122,1.4426,2.0321,0
HRS,4,1,HRS_C1,true_low_burden_reference,1.8485,1.5319,2.2306,1.588,1.3124,1.9214,0
HRS,5,1,HRS_C1,true_low_burden_reference,1.415,1.161,1.7245,1.1849,0.9692,1.4485,0
MHAS,2,1,MHAS_C1,true_low_burden_reference,1.5971,1.3798,1.8485,1.5486,1.3366,1.7942,0
MHAS,3,1,MHAS_C1,true_low_burden_reference,2.1819,1.7863,2.665,2.0886,1.7072,2.5554,0
MHAS,4,1,MHAS_C1,true_low_burden_reference,1.213,0.9199,1.5997,1.1671,0.8839,1.5412,0
MHAS,5,1,MHAS_C1,true_low_burden_reference,1.4875,1.1631,1.9022,1.4139,1.1047,1.8097,0
SHARE,2,1,SHARE_C1,true_low_burden_reference,0.0,0.0,inf,0.0,0.0,inf,0
SHARE,3,1,SHARE_C1,true_low_burden_reference,33.0429,27.3933,39.8577,32.0819,26.5488,38.7683,0
SHARE,4,1,SHARE_C1,true_low_burden_reference,114.2891,88.0461,148.3539,109.7972,84.0752,143.3885,0
