analysis_set,analysis_tier,cohort,wave,n_classes,class,class_n,class_pct,mean_posterior,severity_mean,severity_sd,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,profile_label,high_domains_vs_class_severity,spared_domains_vs_class_severity
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,1,1986,48.66,0.9991,-0.3526,0.5033,-0.1896,-0.181,-0.1797,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,2,1428,34.99,0.9358,-0.0178,0.3533,-0.3015,-0.2065,-0.1477,0.5847,intermediate_high_cardiometabolic_chronic,cardiometabolic_chronic,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,3,667,16.34,0.937,1.011,0.5103,1.1217,0.9561,0.72,1.2461,high_burden_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,3,1,4419,73.42,1.0,-0.2315,0.4274,-0.5196,-0.1505,-0.1997,-0.056,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,3,2,687,11.41,0.9997,0.2213,0.4328,0.2715,0.2962,0.2228,0.0946,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,3,3,913,15.17,1.0,0.8407,0.5362,1.8374,0.5856,0.7004,0.2395,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
strict_earliest_primary,strict_primary,ELSA,1,5,1,2604,42.66,1.0,-0.4149,0.3259,-0.4212,-0.1999,-0.1985,-0.8399,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,ELSA,1,5,2,1668,27.33,1.0,-0.0601,0.345,-0.4212,-0.0594,-0.1414,0.3817,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,ELSA,1,5,3,624,10.22,0.9998,0.3703,0.4995,0.5706,0.301,0.3121,0.2975,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,ELSA,1,5,4,549,8.99,1.0,0.4103,0.4273,-0.4212,0.2046,0.0297,1.828,intermediate_high_cardiometabolic_chronic_spared_functional_affective,cardiometabolic_chronic,functional;affective
strict_earliest_primary,strict_primary,ELSA,1,5,5,659,10.8,1.0,1.0426,0.6609,2.4804,0.3863,0.825,0.4785,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,5,1,3596,35.25,0.9998,-0.4924,0.3233,-0.4133,-0.2965,-0.2705,-0.9894,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,5,2,4428,43.4,0.9755,-0.0303,0.4189,-0.4133,-0.0053,-0.2097,0.5071,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,HRS,5,5,3,870,8.53,0.9075,0.397,0.542,0.3953,0.3903,0.347,0.4554,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,5,4,659,6.46,0.846,0.6935,0.4404,0.7683,0.49,1.5036,0.0122,high_burden_high_affective_spared_cardiometabolic_chronic,affective,cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,5,5,649,6.36,1.0,1.1369,0.648,2.1171,0.6453,0.9257,0.8595,high_burden_high_functional_spared_cognitive,functional,cognitive
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,3,1,15915,58.01,0.8608,-0.1877,0.4873,-0.0969,0.0875,-0.0156,-0.7258,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,3,2,5641,20.56,0.9974,-0.0429,0.4117,-0.6137,-0.3776,-0.1293,0.9491,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,3,3,5877,21.42,1.0,0.5127,0.586,0.7158,0.1264,0.1667,1.0421,high_burden_high_cardiometabolic_chronic_spared_cognitive,cardiometabolic_chronic,cognitive
strict_earliest_primary,strict_primary,MHAS,1,5,1,2719,40.38,1.0,-0.4101,0.3644,-0.323,-0.101,-0.2616,-0.955,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,5,2,2267,33.67,0.9999,0.0043,0.3523,-0.323,-0.0613,-0.0205,0.4219,intermediate_high_cardiometabolic_chronic,cardiometabolic_chronic,
strict_earliest_primary,strict_primary,MHAS,1,5,3,760,11.29,0.9966,0.5351,0.4205,-0.0191,0.0665,0.2944,1.7987,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive,cardiometabolic_chronic,functional;cognitive
strict_earliest_primary,strict_primary,MHAS,1,5,4,467,6.94,0.9944,0.6752,0.8829,1.8217,0.3702,0.5134,-0.0047,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
strict_earliest_primary,strict_primary,MHAS,1,5,5,520,7.72,0.9994,0.7182,0.573,1.5444,0.2831,0.6233,0.4219,high_burden_high_functional_spared_cognitive,functional,cognitive
strict_earliest_primary,strict_primary,SHARE,1,4,1,6678,42.48,0.9708,-0.4235,0.3303,-0.3175,-0.2591,-0.2476,-0.8698,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,SHARE,1,4,2,5896,37.5,0.9994,0.0195,0.3939,-0.366,-0.1176,-0.084,0.6455,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,SHARE,1,4,3,2009,12.78,0.9219,0.439,0.4376,0.4449,0.2444,0.4764,0.5903,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,SHARE,1,4,4,1138,7.24,0.9486,1.5971,0.7582,2.941,1.6908,1.0327,0.7241,high_burden_high_functional_spared_affective_cardiometabolic_chronic,functional,affective;cardiometabolic_chronic
