cohort,analysis_tier,lfo_profile_class,n,events,event_pct,age_mean,cognitive_z_mean,affective_z_mean,cardiometabolic_chronic_z_mean,adjusted_or_vs_class1,ci_low,ci_high,p_value
CHARLS,strict_primary,1,544,117,21.50735294117647,60.56617647058823,-0.8473403422330547,-0.7247200135726012,0.3118913725018035,1.0,1.0,1.0,
CHARLS,strict_primary,2,3147,877,27.86781061328249,60.88179218303146,0.06442965161733048,-0.08199100777578869,-0.7373780307750964,1.3069536247045461,1.044736663971497,1.6349840452952205,0.019128760060968475
CHARLS,strict_primary,3,969,386,39.834881320949435,63.490196078431374,0.4493030944649455,0.4601162052035211,0.3118913725018035,1.9637303975619138,1.5320182081966365,2.5170961113105252,9.942220218969424e-08
CHARLS,strict_primary,4,1027,385,37.48782862706913,62.68354430379747,-0.11413226422695144,0.11467684526121945,1.7621717210427572,1.9336942716708188,1.513067101859941,2.471254270016281,1.3713238557779122e-07
ELSA,strict_primary,1,2376,501,21.085858585858585,62.25841750841751,-0.18550070872665722,-0.0820385303222979,-0.8398771482108879,1.0,1.0,1.0,
ELSA,strict_primary,2,1046,234,22.37093690248566,64.77342256214149,-0.25805842463447776,-0.5750928364650403,0.3816916965124251,0.9180920820361421,0.760165109602788,1.1088289378841636,0.3749024681209183
ELSA,strict_primary,3,260,76,29.230769230769234,63.488461538461536,-0.2551338649143831,1.38552196946068,0.3816916965124251,1.4525036881140636,1.0725007421778936,1.9671473230878327,0.01585333265997564
ELSA,strict_primary,4,612,256,41.830065359477125,69.86601307189542,0.21773021737689646,0.275617961360504,1.8911875115810615,1.6134214394012896,1.3125439533119907,1.9832697675008581,5.5544068237305985e-06
ELSA,strict_primary,5,268,113,42.16417910447761,72.1455223880597,1.142719612628892,0.9109049682456455,0.3816916965124251,1.2793168147304899,0.9589538034662609,1.706705272492044,0.09394045109230174
HRS,strict_primary,1,3819,1084,28.384393820371823,64.13904163393559,-0.2558695789006148,-0.18688208581142654,-0.9894269276857482,1.0,1.0,1.0,
HRS,strict_primary,2,3384,1362,40.248226950354606,67.32003546099291,-0.016226239422476686,-0.02559152489478833,0.0121960452865319,1.4056375834318526,1.2673685916854245,1.5589916216312225,1.157343777748435e-10
HRS,strict_primary,3,1574,762,48.41168996188056,69.84371029224904,0.21393081150841695,0.21364047960829174,1.0138190182588125,1.620924169214998,1.4239949235808227,1.8450874499878134,2.703877114492728e-13
HRS,strict_primary,4,653,338,51.76110260336907,71.1301684532925,0.37644996678474113,0.40857452415820456,2.2041091055888113,1.689455978047595,1.4126809985980298,2.020457204841983,9.210830706198127e-09
MHAS,strict_primary,1,2504,516,20.60702875399361,60.73682108626198,-0.09556958703946758,-0.20593678904051468,-0.9550307876869428,1.0,1.0,1.0,
MHAS,strict_primary,2,2256,671,29.74290780141844,61.937056737588655,-0.03422235078393258,0.077517862182296,0.421854090266625,1.5259657985119055,1.3318738977347322,1.7483424085332262,1.1370494731409442e-09
MHAS,strict_primary,3,674,247,36.646884272997035,62.710682492581604,0.04014538603489588,0.3482697091745509,1.8668341649538016,2.0285873574589908,1.6782366236295263,2.4520777397543445,2.628447795451559e-13
SHARE,strict_primary,1,5652,470,8.315640481245577,61.77335456475584,-0.21760684867581276,-0.1734083789081648,-0.8698141285076382,1.0,1.0,1.0,
SHARE,strict_primary,2,3893,494,12.689442589262779,65.21243257128178,-0.038938615272619034,-3.536590998337627e-05,0.1601944768723066,1.3404396496611528,1.169046152115159,1.5369610952765185,2.698167187845272e-05
SHARE,strict_primary,3,1868,338,18.094218415417558,67.19967880085653,0.13262178800591132,0.19580065305708266,1.1902030822522514,1.8306709058598054,1.566261309051664,2.139717010305727,3.016996976753728e-14
SHARE,strict_primary,4,785,221,28.152866242038215,68.68535031847134,0.3300015807240567,0.49228140617113436,2.462952569154859,2.9661853894935586,2.4569964208719477,3.5808988935045725,1.106768810921188e-29
KLoSA,bridge_sensitivity,1,1882,505,26.83315621679065,62.60839532412327,-0.21317556737524823,-0.18408082854711802,-0.8603369191414635,1.0,1.0,1.0,
KLoSA,bridge_sensitivity,2,1297,408,31.45720894371627,67.60292983808789,0.024854631216295074,-0.015375739686531992,0.3134393298379703,1.1667181456417712,0.9938971179557982,1.3695896756089716,0.05941310022095226
KLoSA,bridge_sensitivity,3,655,231,35.26717557251908,70.14503816793894,0.2665768362162662,0.3108269137376097,1.7470591759197218,1.3342570196239691,1.0941882473373117,1.6269977298221074,0.004380759671591939
