cohort,model,n,events,aic,auc,formula
CHARLS,lfo_profile_minimal_core,5687,1765,6723.342618705692,0.6455601654356264,"functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + C(lfo_profile_class, Treatment(reference=1))"
CHARLS,continuous_three_domain_minimal_core,5687,1765,6671.897834023255,0.6602755141693621,functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + cognitive_score + affective_score + cardiometabolic_chronic_score
ELSA,lfo_profile_minimal_core,4562,1180,4548.92117830319,0.7497262426204532,"functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + C(lfo_profile_class, Treatment(reference=1))"
ELSA,continuous_three_domain_minimal_core,4562,1180,4512.532766024127,0.7564481452154477,functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + cognitive_score + affective_score + cardiometabolic_chronic_score
HRS,lfo_profile_minimal_core,9430,3546,11424.844047057351,0.7010757278430173,"functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + C(lfo_profile_class, Treatment(reference=1))"
HRS,continuous_three_domain_minimal_core,9430,3546,11362.033144214201,0.7089908565026497,functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + cognitive_score + affective_score + cardiometabolic_chronic_score
MHAS,lfo_profile_minimal_core,5434,1434,5923.731242509304,0.675903591352859,"functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + C(lfo_profile_class, Treatment(reference=1))"
MHAS,continuous_three_domain_minimal_core,5434,1434,5913.1984418757875,0.677640080195258,functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + cognitive_score + affective_score + cardiometabolic_chronic_score
SHARE,lfo_profile_minimal_core,12198,1523,8527.713728471896,0.6957147008938662,"functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + C(lfo_profile_class, Treatment(reference=1))"
SHARE,continuous_three_domain_minimal_core,12198,1523,7986.133339293368,0.7502574882250457,functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + cognitive_score + affective_score + cardiometabolic_chronic_score
KLoSA,lfo_profile_minimal_core,3834,1144,4644.858804766017,0.5645852288974966,"functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + C(lfo_profile_class, Treatment(reference=1))"
KLoSA,continuous_three_domain_minimal_core,3834,1144,4635.453624703891,0.5758044232718954,functional_deterioration_ge_0_5sd ~ age + cov_education_raw + cov_marital_status_raw + cov_smoking_raw + cov_drinking_raw + cognitive_score + affective_score + cardiometabolic_chronic_score
