cohort,method,n,sample_n,target_classes,observed_classes,min_class_pct,max_class_pct,bic,aic,silhouette,ari_vs_selected_gmm,ami_vs_selected_gmm,covariance_min_eigen_or_variance,covariance_max_condition,near_singular_flag,converged,note
CHARLS,gmm_full,6019,6019,3,3,11.41385612227945,73.41751121448745,219.45412143354952,-75.46364067455238,0.11241737635552186,1.0,1.0,1e-06,1199523.9855081975,1.0,1,full sample
CHARLS,gmm_diag,6019,6019,3,3,11.41385612227945,73.41751121448745,405.8560997409088,231.58651304066677,0.11579456871858133,1.0,1.0,9.999999994448884e-07,1130270.5155310188,1.0,1,full sample
CHARLS,gmm_tied,6019,6019,3,3,14.553912610068117,70.80910450240904,60363.55036163135,60202.686127754205,0.3076126215101777,0.4501003958232692,0.5144314850369887,0.16704570354885256,6.662876410593299,0.0,1,full sample
CHARLS,kmeans,6019,6019,3,3,15.667054327961456,53.580328958298715,,,0.2855015410124266,0.20480180930805567,0.14768854497159228,,,,1,full sample
CHARLS,hierarchical_ward_sample,6019,5000,3,3,12.7,44.64,,,0.20794499609899686,0.25955220815313956,0.35925555752137805,,,,1,"sampled to max 5,000 participants for scalability"
CHARLS,continuous_severity_tertile,6019,6019,3,3,33.294567203854456,33.361023425818246,,,0.1318578998141598,0.12336894610591674,0.1923681886502033,,,,1,continuous-domain comparator discretized into tertiles for ARI only
ELSA,gmm_full,6104,6104,5,5,8.994102228047183,42.6605504587156,-58676.83309628812,-59173.86886468748,0.20390771129874727,1.0,1.0,1e-06,1354678.365229194,1.0,1,full sample
ELSA,gmm_diag,6104,6104,5,5,8.994102228047183,42.6605504587156,-58779.070753331645,-59074.605534542075,0.2014736550543582,1.0,1.0,9.999999995559107e-07,1286514.9780269954,1.0,1,full sample
ELSA,gmm_tied,6104,6104,5,5,1.261467889908257,67.74246395806028,60737.34255601683,60508.97477053605,0.3498471899354585,0.2509192316894407,0.30910683338535194,0.27105033280263013,2.9971616656801316,0.0,1,full sample
ELSA,kmeans,6104,6104,5,5,7.536041939711664,45.96985583224115,,,0.2938034821275779,0.24087095790162213,0.3377231724308742,,,,1,full sample
ELSA,hierarchical_ward_sample,6104,5000,5,5,7.88,35.86,,,0.25262467340959915,0.47630878127504783,0.48004813518001904,,,,1,"sampled to max 5,000 participants for scalability"
ELSA,continuous_severity_tertile,6104,6104,3,3,33.28964613368283,33.37155963302752,,,0.12078545356451864,0.21948762205430541,0.24665991544740726,,,,1,continuous-domain comparator discretized into tertiles for ARI only
HRS,gmm_full,10202,10202,5,5,4.048225838070967,46.216428151342875,-61102.37586178132,-61637.42095210905,0.16482024034951787,0.9277627731596331,0.8749737983713264,9.99999999956989e-07,1518608.726468007,1.0,1,full sample
HRS,gmm_diag,10202,10202,5,5,3.528719858851206,46.216428151342875,-55991.23776670631,-56309.37268527956,0.1498179588079661,0.9223282374128831,0.8774890264869641,9.999999914512827e-07,1324842.333930584,1.0,1,full sample
