analysis_set,cohort,wave,domain_1,domain_2,correlation
functional_bridge_earliest_sensitivity,KLoSA,3,functional,cognitive,0.4296
functional_bridge_earliest_sensitivity,KLoSA,3,functional,affective,0.2935
functional_bridge_earliest_sensitivity,KLoSA,3,functional,cardiometabolic_chronic,0.1695
functional_bridge_earliest_sensitivity,KLoSA,3,cognitive,affective,0.343
functional_bridge_earliest_sensitivity,KLoSA,3,cognitive,cardiometabolic_chronic,0.1881
functional_bridge_earliest_sensitivity,KLoSA,3,affective,cardiometabolic_chronic,0.2084
strict_earliest_primary,CHARLS,1,functional,cognitive,0.2749
strict_earliest_primary,CHARLS,1,functional,affective,0.3339
strict_earliest_primary,CHARLS,1,functional,cardiometabolic_chronic,0.1272
strict_earliest_primary,CHARLS,1,cognitive,affective,0.2432
strict_earliest_primary,CHARLS,1,cognitive,cardiometabolic_chronic,-0.076
strict_earliest_primary,CHARLS,1,affective,cardiometabolic_chronic,0.0796
strict_earliest_primary,ELSA,1,functional,cognitive,0.1816
strict_earliest_primary,ELSA,1,functional,affective,0.3149
strict_earliest_primary,ELSA,1,functional,cardiometabolic_chronic,0.2025
strict_earliest_primary,ELSA,1,cognitive,affective,0.1921
strict_earliest_primary,ELSA,1,cognitive,cardiometabolic_chronic,0.1592
strict_earliest_primary,ELSA,1,affective,cardiometabolic_chronic,0.1314
strict_earliest_primary,HRS,5,functional,cognitive,0.2436
strict_earliest_primary,HRS,5,functional,affective,0.3328
strict_earliest_primary,HRS,5,functional,cardiometabolic_chronic,0.275
strict_earliest_primary,HRS,5,cognitive,affective,0.2449
strict_earliest_primary,HRS,5,cognitive,cardiometabolic_chronic,0.2293
strict_earliest_primary,HRS,5,affective,cardiometabolic_chronic,0.1996
strict_earliest_primary,LASI,all_rows_no_wave,functional,cognitive,0.2702
strict_earliest_primary,LASI,all_rows_no_wave,functional,affective,0.2093
strict_earliest_primary,LASI,all_rows_no_wave,functional,cardiometabolic_chronic,0.1015
strict_earliest_primary,LASI,all_rows_no_wave,cognitive,affective,0.1799
strict_earliest_primary,LASI,all_rows_no_wave,cognitive,cardiometabolic_chronic,-0.108
strict_earliest_primary,LASI,all_rows_no_wave,affective,cardiometabolic_chronic,0.0187
strict_earliest_primary,MHAS,1,functional,cognitive,0.1687
strict_earliest_primary,MHAS,1,functional,affective,0.2317
strict_earliest_primary,MHAS,1,functional,cardiometabolic_chronic,0.1485
strict_earliest_primary,MHAS,1,cognitive,affective,0.1346
strict_earliest_primary,MHAS,1,cognitive,cardiometabolic_chronic,0.0604
strict_earliest_primary,MHAS,1,affective,cardiometabolic_chronic,0.1943
strict_earliest_primary,SHARE,1,functional,cognitive,0.464
strict_earliest_primary,SHARE,1,functional,affective,0.3091
strict_earliest_primary,SHARE,1,functional,cardiometabolic_chronic,0.1958
strict_earliest_primary,SHARE,1,cognitive,affective,0.3013
strict_earliest_primary,SHARE,1,cognitive,cardiometabolic_chronic,0.1774
strict_earliest_primary,SHARE,1,affective,cardiometabolic_chronic,0.2076
