analysis_set,cohort,wave,domain,n,mean,sd,min,p25,median,p75,max
functional_bridge_earliest_sensitivity,KLoSA,3,functional,4344,-0.0,1.0,-3.8877,-0.5209,-0.3353,0.0994,6.8837
functional_bridge_earliest_sensitivity,KLoSA,3,cognitive,4115,0.0,1.0,-1.0164,-0.8514,-0.3566,0.468,3.9316
functional_bridge_earliest_sensitivity,KLoSA,3,affective,4305,0.0,1.0,-1.394,-0.7082,-0.1938,0.492,3.7494
functional_bridge_earliest_sensitivity,KLoSA,3,cardiometabolic_chronic,4344,0.0,1.0,-0.8603,-0.8603,0.3134,0.3134,3.8348
strict_earliest_primary,CHARLS,1,functional,6818,0.0,1.0,-0.5196,-0.5196,-0.5196,0.2715,3.4362
strict_earliest_primary,CHARLS,1,cognitive,6024,0.0132,1.0077,-2.3419,-0.7648,-0.134,0.9174,2.6019
strict_earliest_primary,CHARLS,1,affective,6384,0.0,1.0,-1.4495,-0.8514,-0.1038,0.6437,3.036
strict_earliest_primary,CHARLS,1,cardiometabolic_chronic,6827,-0.0,1.0,-0.7374,-0.7374,-0.7374,0.3119,5.5582
strict_earliest_primary,ELSA,1,functional,6198,-0.0,1.0,-0.4212,-0.4212,-0.4212,-0.4212,5.5294
strict_earliest_primary,ELSA,1,cognitive,6136,-0.0,1.0,-2.3948,-0.6829,-0.0976,0.5633,8.2961
strict_earliest_primary,ELSA,1,affective,6109,0.0,1.0,-0.8707,-0.8707,-0.3898,0.5718,2.976
strict_earliest_primary,ELSA,1,cardiometabolic_chronic,6288,-0.0,1.0,-0.8399,-0.8399,0.3817,0.3817,4.0464
strict_earliest_primary,HRS,5,functional,10989,0.0,1.0,-0.4133,-0.4133,-0.4133,-0.4133,4.4382
strict_earliest_primary,HRS,5,cognitive,10214,0.0,1.0,-2.3614,-0.7281,-0.1156,0.701,3.1508
strict_earliest_primary,HRS,5,affective,10210,-0.0,1.0,-0.8644,-0.8644,-0.374,0.6068,3.0589
strict_earliest_primary,HRS,5,cardiometabolic_chronic,11005,-0.0,1.0,-0.9894,-0.9894,0.0122,1.0138,4.0187
strict_earliest_primary,LASI,all_rows_no_wave,functional,28078,-0.0,1.0,-0.6137,-0.6137,-0.6137,0.2017,4.0966
strict_earliest_primary,LASI,all_rows_no_wave,cognitive,27817,-0.0,1.0,-2.9436,-0.7295,0.0085,0.7465,3.2558
strict_earliest_primary,LASI,all_rows_no_wave,affective,27442,0.0,1.0,-2.4223,-0.7043,-0.2134,0.5229,4.9406
strict_earliest_primary,LASI,all_rows_no_wave,cardiometabolic_chronic,28115,-0.0,1.0,-0.7258,-0.7258,-0.7258,0.5059,5.4326
strict_earliest_primary,MHAS,1,functional,6988,-0.0,1.0,-0.3256,-0.323,-0.323,-0.323,6.6113
strict_earliest_primary,MHAS,1,cognitive,6899,0.0,1.0,-2.2324,-0.7692,-0.0405,0.5483,3.6204
strict_earliest_primary,MHAS,1,affective,6969,0.0,1.0,-1.4763,-0.7423,-0.0084,0.7256,1.8266
strict_earliest_primary,MHAS,1,cardiometabolic_chronic,7285,-0.0,1.0,-0.955,-0.955,0.4219,0.4219,4.5525
strict_earliest_primary,SHARE,1,functional,15814,-0.0,1.0,-0.366,-0.366,-0.366,-0.366,6.6337
strict_earliest_primary,SHARE,1,cognitive,15730,-0.0,1.0,-2.4553,-0.6626,-0.1186,0.4847,6.2048
strict_earliest_primary,SHARE,1,affective,15814,-0.0,1.0,-1.1639,-0.7452,-0.3265,0.5109,3.8606
strict_earliest_primary,SHARE,1,cardiometabolic_chronic,15740,0.0,1.0,-0.8698,-0.8698,0.1602,0.1602,5.3102
