cohort,model_type,risk_decile,n,observed_event_pct,mean_predicted_event_pct
CHARLS,lfo_profile_adjusted,1,569,15.114235500878733,15.213848543797672
CHARLS,lfo_profile_adjusted,2,569,21.26537785588752,20.038575546335963
CHARLS,lfo_profile_adjusted,3,568,21.654929577464788,22.5925892970373
CHARLS,lfo_profile_adjusted,4,569,27.240773286467483,25.032213507338575
CHARLS,lfo_profile_adjusted,5,569,25.65905096660808,27.697814331578684
CHARLS,lfo_profile_adjusted,6,568,31.161971830985912,30.50953536872878
CHARLS,lfo_profile_adjusted,7,569,32.68892794376098,33.93001719723675
CHARLS,lfo_profile_adjusted,8,568,36.79577464788733,37.79527052477808
CHARLS,lfo_profile_adjusted,9,569,44.463971880492096,43.395041502197564
CHARLS,lfo_profile_adjusted,10,569,54.305799648506145,54.14816517435619
CHARLS,continuous_three_domain_adjusted,1,569,13.005272407732866,14.126171881485755
CHARLS,continuous_three_domain_adjusted,2,569,15.992970123022848,18.915316535483576
CHARLS,continuous_three_domain_adjusted,3,568,22.711267605633804,21.99177713188416
CHARLS,continuous_three_domain_adjusted,4,569,27.240773286467483,24.768656054247217
CHARLS,continuous_three_domain_adjusted,5,569,27.06502636203866,27.392313089597742
CHARLS,continuous_three_domain_adjusted,6,568,31.690140845070424,30.6007289685681
CHARLS,continuous_three_domain_adjusted,7,569,34.44639718804921,34.21223742361927
CHARLS,continuous_three_domain_adjusted,8,568,39.08450704225352,38.34957898292342
CHARLS,continuous_three_domain_adjusted,9,569,45.342706502636204,44.20512898170749
CHARLS,continuous_three_domain_adjusted,10,569,53.77855887521969,55.791240484930384
ELSA,lfo_profile_adjusted,1,457,5.032822757111598,7.294819371363458
ELSA,lfo_profile_adjusted,2,456,8.333333333333332,9.519547783761864
ELSA,lfo_profile_adjusted,3,456,12.280701754385964,11.80133098780136
ELSA,lfo_profile_adjusted,4,456,15.789473684210526,14.562297809815517
ELSA,lfo_profile_adjusted,5,456,18.201754385964914,18.111927391864153
ELSA,lfo_profile_adjusted,6,456,20.175438596491226,22.736077661408626
ELSA,lfo_profile_adjusted,7,456,30.482456140350877,28.905030222202864
ELSA,lfo_profile_adjusted,8,456,40.78947368421053,36.90788971538596
ELSA,lfo_profile_adjusted,9,456,53.07017543859649,47.11219498719513
ELSA,lfo_profile_adjusted,10,457,54.48577680525164,61.66957618421892
ELSA,continuous_three_domain_adjusted,1,457,4.3763676148796495,6.892077673600349
ELSA,continuous_three_domain_adjusted,2,456,7.675438596491229,9.346218688252575
ELSA,continuous_three_domain_adjusted,3,456,12.719298245614036,11.625249147488569
ELSA,continuous_three_domain_adjusted,4,456,14.473684210526317,14.471816616760666
ELSA,continuous_three_domain_adjusted,5,456,17.543859649122805,18.107920286749195
ELSA,continuous_three_domain_adjusted,6,456,21.710526315789476,22.551144233113547
ELSA,continuous_three_domain_adjusted,7,456,29.166666666666668,28.396342288667654
ELSA,continuous_three_domain_adjusted,8,456,41.885964912280706,36.670228557017644
