cohort,role,model_type,n,events,observed_event_pct,mean_predicted_event_pct,brier,auc,calibration_intercept,calibration_slope
CHARLS,strict-core,lfo_profile_adjusted,5687,1765,31.035695445753475,31.03569544576153,0.20118838357521146,0.6455601654356264,2.618504371665331e-13,1.000000000000799
CHARLS,strict-core,continuous_three_domain_adjusted,5687,1765,31.035695445753475,31.03569544575646,0.19965089594468977,0.6602755141693621,8.810075065313061e-14,1.0000000000002858
ELSA,strict-core,lfo_profile_adjusted,4562,1180,25.865848312143797,25.865848312144614,0.16333313811421257,0.7497262426204532,-5.728696596957183e-14,0.9999999999999939
ELSA,strict-core,continuous_three_domain_adjusted,4562,1180,25.865848312143797,25.865848312144646,0.16202981492303853,0.7564481452154477,-6.094625672192766e-14,0.9999999999999909
HRS,strict-core,lfo_profile_adjusted,9430,3546,37.6033934252386,37.60339342524037,0.20929403795051102,0.7010757278430173,-3.247521609267556e-14,0.9999999999999871
HRS,strict-core,continuous_three_domain_adjusted,9430,3546,37.6033934252386,37.603393425240554,0.20769715732760013,0.7089908565026497,-3.4084714217730294e-14,0.9999999999999909
KLoSA,bridge sensitivity,lfo_profile_adjusted,3834,1144,29.83828899321857,29.838288993249378,0.20688825798593588,0.5645852288974966,-3.03486104519593e-13,0.9999999999994786
KLoSA,bridge sensitivity,continuous_three_domain_adjusted,3834,1144,29.83828899321857,29.838288993247975,0.2062102948400171,0.5758044232718954,-2.1108657356772031e-13,0.9999999999996325
MHAS,strict-core,lfo_profile_adjusted,5434,1434,26.389400073610602,26.389400073610563,0.1823754040694004,0.675903591352859,9.591286098675766e-15,0.9999999999999972
MHAS,strict-core,continuous_three_domain_adjusted,5434,1434,26.389400073610602,26.38940007361062,0.18191518317362887,0.677640080195258,-9.182758720083228e-15,0.9999999999999823
SHARE,validation-downgraded sensitivity,lfo_profile_adjusted,12198,1523,12.485653385800951,12.485653385801415,0.10255529961617185,0.6957147008938662,-5.176523272532041e-14,0.999999999999997
SHARE,validation-downgraded sensitivity,continuous_three_domain_adjusted,12198,1523,12.485653385800951,12.48565338580147,0.09572854407576357,0.7502574882250457,-6.293706875104554e-14,0.9999999999999948
