cohort,role,model_type,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
CHARLS,strict-core,lfo_profile_adjusted,0.1,0.23324150596877868,0.23372994939726083,0.0
CHARLS,strict-core,lfo_profile_adjusted,0.2,0.1439247406365395,0.13794619307191844,0.0
CHARLS,strict-core,lfo_profile_adjusted,0.3,0.0692054560526514,0.014795649225049612,0.0
CHARLS,strict-core,lfo_profile_adjusted,0.4,0.03212003985698375,-0.1494050759041088,0.0
CHARLS,strict-core,lfo_profile_adjusted,0.5,0.010726217689467209,-0.3792860910849305,0.0
CHARLS,strict-core,continuous_three_domain_adjusted,0.1,0.23427700603716076,0.23372994939726083,0.0
CHARLS,strict-core,continuous_three_domain_adjusted,0.2,0.15100228591524528,0.13794619307191844,0.0
CHARLS,strict-core,continuous_three_domain_adjusted,0.3,0.07638976110929689,0.014795649225049612,0.0
CHARLS,strict-core,continuous_three_domain_adjusted,0.4,0.03370259656526581,-0.1494050759041088,0.0
CHARLS,strict-core,continuous_three_domain_adjusted,0.5,0.008791981712678032,-0.3792860910849305,0.0
ELSA,strict-core,lfo_profile_adjusted,0.1,0.1842028350138828,0.17628720346826443,0.0
ELSA,strict-core,lfo_profile_adjusted,0.2,0.12335598421744849,0.07332310390179747,0.0
ELSA,strict-core,lfo_profile_adjusted,0.3,0.08273313709525897,-0.05905930982651719,0.0
ELSA,strict-core,lfo_profile_adjusted,0.4,0.047932193482390764,-0.23556919479760335,0.0
ELSA,strict-core,lfo_profile_adjusted,0.5,0.012056115738711091,-0.482683033757124,0.0
ELSA,strict-core,continuous_three_domain_adjusted,0.1,0.1838374981733158,0.17628720346826443,0.0
ELSA,strict-core,continuous_three_domain_adjusted,0.2,0.1268632178868917,0.07332310390179747,0.0
ELSA,strict-core,continuous_three_domain_adjusted,0.3,0.08692929166405712,-0.05905930982651719,0.0
ELSA,strict-core,continuous_three_domain_adjusted,0.4,0.051001022943153576,-0.23556919479760335,0.0
ELSA,strict-core,continuous_three_domain_adjusted,0.5,0.012713722051731692,-0.482683033757124,0.0
HRS,strict-core,lfo_profile_adjusted,0.1,0.30681041593024627,0.30670437139154,0.0
HRS,strict-core,lfo_profile_adjusted,0.2,0.23398727465535527,0.2200424178154825,0.0
HRS,strict-core,lfo_profile_adjusted,0.3,0.16268747159521288,0.10861990607483712,0.0
HRS,strict-core,lfo_profile_adjusted,0.4,0.0946624248851184,-0.03994344291269003,0.0
HRS,strict-core,lfo_profile_adjusted,0.5,0.03732767762460233,-0.24793213149522803,0.0
HRS,strict-core,continuous_three_domain_adjusted,0.1,0.3067515022976317,0.30670437139154,0.0
HRS,strict-core,continuous_three_domain_adjusted,0.2,0.23616118769883354,0.2200424178154825,0.0
HRS,strict-core,continuous_three_domain_adjusted,0.3,0.16971670958945614,0.10861990607483712,0.0
HRS,strict-core,continuous_three_domain_adjusted,0.4,0.09646518204312476,-0.03994344291269003,0.0
HRS,strict-core,continuous_three_domain_adjusted,0.5,0.045705196182396615,-0.24793213149522803,0.0
