cohort,threshold,continuous_three_domain_adjusted,lfo_profile_adjusted,continuous_minus_profile_net_benefit
CHARLS,0.1,0.23427700603716076,0.23324150596877868,0.0010355000683820725
CHARLS,0.2,0.15100228591524528,0.1439247406365395,0.007077545278705771
CHARLS,0.3,0.07638976110929689,0.0692054560526514,0.007184305056645496
CHARLS,0.4,0.03370259656526581,0.03212003985698375,0.0015825567082820569
CHARLS,0.5,0.008791981712678032,0.010726217689467209,-0.0019342359767891767
ELSA,0.1,0.1838374981733158,0.1842028350138828,-0.0003653368405669988
ELSA,0.2,0.1268632178868917,0.12335598421744849,0.0035072336694432077
ELSA,0.3,0.08692929166405712,0.08273313709525897,0.004196154568798155
ELSA,0.4,0.051001022943153576,0.047932193482390764,0.003068829460762812
ELSA,0.5,0.012713722051731692,0.012056115738711091,0.0006576063130206006
HRS,0.1,0.3067515022976317,0.30681041593024627,-5.8913632614565614e-05
HRS,0.2,0.23616118769883354,0.23398727465535527,0.002173913043478276
HRS,0.3,0.16971670958945614,0.16268747159521288,0.007029237994243265
HRS,0.4,0.09646518204312476,0.0946624248851184,0.00180275715800636
HRS,0.5,0.045705196182396615,0.03732767762460233,0.008377518557794283
KLoSA,0.1,0.22042543325798414,0.22042543325798414,0.0
KLoSA,0.2,0.12128325508607199,0.12297861241523214,-0.001695357329160152
KLoSA,0.3,0.03431701319025264,0.02481556002682761,0.00950145316342503
KLoSA,0.4,0.003738480264301857,0.004434011476264998,-0.0006955312119631407
KLoSA,0.5,0.0005216484089723527,-0.0005216484089723527,0.0010432968179447054
MHAS,0.1,0.18359710464973625,0.1834744203165256,0.00012268433321063754
MHAS,0.2,0.11400441663599559,0.11216415163783586,0.0018402649981597297
MHAS,0.3,0.044744728955255275,0.05044955044955045,-0.005704821494295173
MHAS,0.4,0.003067108330266216,0.0021469758311863513,0.0009201324990798648
MHAS,0.5,-0.006440927493559075,-0.005888847994111154,-0.000552079499447921
SHARE,0.1,0.05497258202619738,0.047475906797107,0.00749667522909038
SHARE,0.2,0.029123626824069517,0.015186915887850466,0.013936710936219052
SHARE,0.3,0.015962804206778633,0.004040475019324009,0.011922329187454624
SHARE,0.4,0.008553314751052084,0.0007104989889052849,0.0078428157621468
SHARE,0.5,0.00409903262829972,0.00016396130513198886,0.003935071323167731
