analysis_set,analysis_tier,cohort,outcome,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,endotype_age,Intercept,Intercept,-1.5246403661835795,0.21769933483130494,0.14488661225721564,0.327104068813869,2.1492898626092486e-13
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.21755448542616657,1.2430331548538736,1.0530237671461247,1.4673281575149493,0.010158346729083879
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.32243976580943445,1.3804917355529287,1.1854322213898663,1.6076477402440787,3.344716534933717e-05
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,endotype_age,age,age,0.019061273763656964,1.0192440996261536,1.0125342685461105,1.0259983952092966,1.5466228117469816e-08
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,severity_score_age,Intercept,Intercept,-1.0437227172261492,0.352141316286881,0.23122972860573804,0.5362783902570387,1.1537039266971868e-06
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,severity_score_age,severity_score,severity_score,0.5130706970693324,1.6704126589457726,1.5184402394554783,1.83759517079638,5.512625933799124e-26
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,severity_score_age,age,age,0.012580213155174012,1.0126596769107217,1.0058460983985527,1.0195194104482126,0.00025996386948611163
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,four_domain_scores_age,Intercept,Intercept,-1.305243236543714,0.271106583996603,0.17575170309215704,0.4181966865366156,3.587801950021904e-09
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,four_domain_scores_age,functional_score,functional_score,0.03852106748780555,1.0392726229906624,0.9727781460313929,1.110312345424581,0.2535136098649988
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,four_domain_scores_age,cognitive_score,cognitive_score,0.0062805133118973835,1.00630027708952,0.9491303672616316,1.0669137587411175,0.833310637186614
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,four_domain_scores_age,affective_score,affective_score,0.19839274371174195,1.2194412276600006,1.1511032188973145,1.2918362865333821,1.558781303573562e-11
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,four_domain_scores_age,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.2840438818035209,1.328491226064695,1.2572034851035867,1.4038212259532987,5.883020367282135e-24
strict_earliest_primary,strict_primary,CHARLS,hospitalization_event,four_domain_scores_age,age,age,0.01672046232602849,1.0168610316245787,1.0098154841903948,1.0239557362953318,2.4361702155905235e-06
strict_earliest_primary,strict_primary,HRS,hospitalization_event,endotype_age,Intercept,Intercept,0.23538975314022859,1.265401866984662,0.9084818397893918,1.7625469380207701,0.1638418012519569
strict_earliest_primary,strict_primary,HRS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.5878614966618142,1.8001347022073901,1.616721391797185,2.004355829354797,8.03455768909896e-27
strict_earliest_primary,strict_primary,HRS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.7946174281121832,2.2135939759649794,1.797880639744821,2.725430254993968,7.031348107465986e-14
strict_earliest_primary,strict_primary,HRS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.6664130335399497,1.9472400938231684,1.5596517277355,2.431147874594924,3.984128696421736e-09
strict_earliest_primary,strict_primary,HRS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.8695862718933435,2.385923525672815,1.8644455174729604,3.053256862166022,4.819487817791347e-12
strict_earliest_primary,strict_primary,HRS,hospitalization_event,endotype_age,age,age,0.00877633173591023,1.008814956647604,1.0036798117539854,1.0139763745744843,0.0007499406170126902
strict_earliest_primary,strict_primary,HRS,hospitalization_event,severity_score_age,Intercept,Intercept,0.625760237836734,1.8696668087214097,1.318128299909618,2.6519831004874046,0.0004502524046248832
strict_earliest_primary,strict_primary,HRS,hospitalization_event,severity_score_age,severity_score,severity_score,0.42499514927626214,1.5295830000608162,1.395357064966358,1.6767207568705396,1.1969929075300812e-19
strict_earliest_primary,strict_primary,HRS,hospitalization_event,severity_score_age,age,age,0.009380404814920548,1.0094245387021354,1.0041973521606797,1.0146789345158325,0.0003983340554684994
strict_earliest_primary,strict_primary,HRS,hospitalization_event,four_domain_scores_age,Intercept,Intercept,0.4690410839406867,1.5984606684689393,1.1139539812822574,2.293700234996291,0.0109070050256663
strict_earliest_primary,strict_primary,HRS,hospitalization_event,four_domain_scores_age,functional_score,functional_score,0.04726069640142645,1.0483952863353294,0.9691261155484612,1.1341482380630112,0.23872834313581393
strict_earliest_primary,strict_primary,HRS,hospitalization_event,four_domain_scores_age,cognitive_score,cognitive_score,-0.10364303524910636,0.9015470605106216,0.8528896586367226,0.9529803698341459,0.00025093615521869917
strict_earliest_primary,strict_primary,HRS,hospitalization_event,four_domain_scores_age,affective_score,affective_score,0.139831213045769,1.1500796640303603,1.0874737057755053,1.2162898528870152,9.766596493571624e-07
strict_earliest_primary,strict_primary,HRS,hospitalization_event,four_domain_scores_age,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.3462701474871093,1.413784494562083,1.331805078339363,1.500810163268386,6.503496711632875e-30
strict_earliest_primary,strict_primary,HRS,hospitalization_event,four_domain_scores_age,age,age,0.012066707980411324,1.0121398044163863,1.006720823599106,1.0175879545449686,1.0554324250502144e-05
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,endotype_age,Intercept,Intercept,-0.09187398506123737,0.9122200956619673,0.6282755593159443,1.3244912850589867,0.6291760418647733
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.317352660477146,1.3734868610573956,1.2138821512190183,1.5540768563100211,4.772225767527064e-07
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.7912252913208647,2.206097883471509,1.8567597967981622,2.6211618109407615,2.349417068310853e-19
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.40313580891071826,1.4965101172722515,1.196733253611016,1.8713798787997455,0.0004083494009233097
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.5789706618143798,1.784200939054742,1.448505551228371,2.1976947124739965,5.206411446045162e-08
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,endotype_age,age,age,-0.013503062038080221,0.9865876953440148,0.9806674880159904,0.9925436424668578,1.096736294595433e-05
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,severity_score_age,Intercept,Intercept,0.3352982527318874,1.3983573869442356,0.9539669967871708,2.049759989818347,0.08571685751599951
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,severity_score_age,severity_score,severity_score,0.3439368836889804,1.410489607797382,1.2837838712627108,1.5497008322340027,7.962850221695335e-13
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,severity_score_age,age,age,-0.01590921420949171,0.984216668887738,0.978215842775904,0.9902543068282602,3.422125756195155e-07
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,four_domain_scores_age,Intercept,Intercept,-0.0029928919050199922,0.9970115823312095,0.670705093756055,1.4820702937200676,0.9881942467323847
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,four_domain_scores_age,functional_score,functional_score,0.02445785505036581,1.0247594017637243,0.9655309620373171,1.0876210839342912,0.4207143380519406
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,four_domain_scores_age,cognitive_score,cognitive_score,-0.060633318149141316,0.9411682858401003,0.8887841023611652,0.9966399487996703,0.03797224602556198
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,four_domain_scores_age,affective_score,affective_score,0.11356018322568,1.1202593076823544,1.0603850705930298,1.1835143206487138,5.076055506823231e-05
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,four_domain_scores_age,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.2317661656674377,1.2608248702136349,1.1940620653844989,1.331320539721977,6.858068917446141e-17
strict_earliest_primary,strict_primary,MHAS,hospitalization_event,four_domain_scores_age,age,age,-0.010596451687873692,0.9894594929271405,0.9832194024552564,0.9957391866950946,0.0010278652818753308
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,endotype_age,Intercept,Intercept,-1.887223179532148,0.15149189110385394,0.11729608585041672,0.19565693862529174,2.220640623347095e-47
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.2791871170541383,1.3220546997073885,1.2145793231773283,1.4390403291619438,1.092218830897541e-10
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.55596941139003,1.7436304609719018,1.5430856600159382,1.9702387645788149,4.73687687032659e-19
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,endotype_age,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.5060553497285281,1.6587351427493588,1.3984374494007665,1.9674832613862838,6.228911332660314e-09
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,endotype_age,age,age,0.01664699709613307,1.0167863304391223,1.012684774876012,1.0209044980403068,6.908717025716647e-16
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,severity_score_age,Intercept,Intercept,-1.6682124742746893,0.18858386303861926,0.1444282127424589,0.24623910192661175,1.5441117386016772e-34
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,severity_score_age,severity_score,severity_score,0.2717972122217324,1.3123208516961862,1.2306447849220523,1.3994176377269454,1.131606553768925e-16
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,severity_score_age,age,age,0.01664979755677531,1.0167891779132094,1.012652112619078,1.0209431446772874,1.2037849605422023e-15
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,four_domain_scores_age,Intercept,Intercept,-1.9993140137298118,0.13542815323291435,0.10221194143514603,0.17943876645484758,4.4235429991790617e-44
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,four_domain_scores_age,functional_score,functional_score,0.03544991535444361,1.03608575484075,0.986627643736979,1.0880231242234477,0.15545996826233663
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,four_domain_scores_age,cognitive_score,cognitive_score,-0.12593580533318335,0.8816714435713524,0.8396757064803718,0.9257675652753492,4.245681673381212e-07
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,four_domain_scores_age,affective_score,affective_score,0.13873202162407988,1.1488162008505556,1.10264493046579,1.196920810019224,3.3871963327183786e-11
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,four_domain_scores_age,cardiometabolic_chronic_score,cardiometabolic_chronic_score,0.20086601259273143,1.2224609664742603,1.17576688647715,1.2710094422124423,5.051482798163214e-24
strict_earliest_primary,strict_primary,SHARE,hospitalization_event,four_domain_scores_age,age,age,0.021500589897334613,1.0217333930550094,1.0173614078367046,1.026124166340762,8.603885770673716e-23
