cohort,concept,source_type,variable_or_line,label_or_snippet,source_file,evidence_status
CHARLS,weight,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,cleaned candidate only; requires codebook confirmation
CHARLS,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,cleaned candidate only; requires codebook confirmation
CHARLS,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/charls.csv,cleaned candidate only; requires codebook confirmation
ELSA,weight,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/elsa.csv,cleaned candidate only; requires codebook confirmation
ELSA,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/elsa.csv,cleaned candidate only; requires codebook confirmation
ELSA,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/elsa.csv,cleaned candidate only; requires codebook confirmation
HRS,weight,cleaned_header,wtresp,wtresp (个体权重),/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/hrs.csv,cleaned candidate only; requires codebook confirmation
HRS,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/hrs.csv,cleaned candidate only; requires codebook confirmation
HRS,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/hrs.csv,cleaned candidate only; requires codebook confirmation
KLoSA,weight,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,cleaned candidate only; requires codebook confirmation
KLoSA,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,cleaned candidate only; requires codebook confirmation
KLoSA,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/klosa.csv,cleaned candidate only; requires codebook confirmation
LASI,weight,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/lasi.csv,cleaned candidate only; requires codebook confirmation
LASI,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/lasi.csv,cleaned candidate only; requires codebook confirmation
LASI,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/lasi.csv,cleaned candidate only; requires codebook confirmation
MHAS,weight,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/mhas.csv,cleaned candidate only; requires codebook confirmation
MHAS,psu,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/mhas.csv,cleaned candidate only; requires codebook confirmation
MHAS,strata,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/mhas.csv,cleaned candidate only; requires codebook confirmation
SHARE,weight,cleaned_header,,,/mnt/e/Database/七大老年健康数据库数据/csv 版本 清洗后/share.csv,cleaned candidate only; requires codebook confirmation
