analysis_set,analysis_tier,cohort,wave,n_classes,class,class_n,class_pct,mean_posterior,severity_mean,severity_sd,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,profile_label,high_domains_vs_class_severity,spared_domains_vs_class_severity
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,2,1,2803,68.68,0.9386,-0.3514,0.3673,-0.42,-0.4491,-0.3017,-0.2347,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,2,2,1278,31.32,0.9328,0.7304,0.5437,0.875,0.972,0.5931,0.4815,high_burden_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,1,1986,48.66,0.9991,-0.3526,0.5033,-0.1896,-0.181,-0.1797,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,2,1428,34.99,0.9358,-0.0178,0.3533,-0.3015,-0.2065,-0.1477,0.5847,intermediate_high_cardiometabolic_chronic,cardiometabolic_chronic,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,3,667,16.34,0.937,1.011,0.5103,1.1217,0.9561,0.72,1.2461,high_burden_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,1,1987,48.69,1.0,-0.3522,0.5036,-0.1879,-0.1812,-0.1792,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,2,1356,33.23,0.9999,0.0903,0.5122,-0.0204,0.07,-0.002,0.3134,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,3,563,13.8,0.9995,0.5715,0.5637,0.2188,0.2952,0.2849,1.4872,high_burden_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4,4,175,4.29,0.9992,1.1668,0.6162,1.2509,0.4708,0.633,2.3122,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,1,1987,48.69,1.0,-0.3522,0.5036,-0.1879,-0.1812,-0.1792,-0.8603,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,2,1356,33.23,1.0,0.0903,0.5122,-0.0204,0.07,-0.002,0.3134,intermediate_severity_aligned,,
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,3,563,13.8,0.9999,0.5715,0.5637,0.2188,0.2952,0.2849,1.4872,high_burden_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,4,129,3.16,0.9997,0.9957,0.5532,0.3289,0.4424,0.5504,2.661,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive_affective,cardiometabolic_chronic,functional;cognitive;affective
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,5,5,46,1.13,0.9967,1.6465,0.5274,3.8367,0.5505,0.8647,1.3341,high_burden_high_functional_spared_cognitive_affective,functional,cognitive;affective
strict_earliest_primary,strict_primary,CHARLS,1,2,1,4419,73.42,0.9999,-0.2315,0.4274,-0.5196,-0.1505,-0.1997,-0.056,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,2,2,1600,26.58,1.0,0.5747,0.5817,1.1651,0.4613,0.4953,0.1773,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
strict_earliest_primary,strict_primary,CHARLS,1,3,1,4419,73.42,1.0,-0.2315,0.4274,-0.5196,-0.1505,-0.1997,-0.056,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,3,2,687,11.41,0.9997,0.2213,0.4328,0.2715,0.2962,0.2228,0.0946,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,3,3,913,15.17,1.0,0.8407,0.5362,1.8374,0.5856,0.7004,0.2395,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
strict_earliest_primary,strict_primary,CHARLS,1,4,1,4418,73.4,1.0,-0.2316,0.4273,-0.5196,-0.1502,-0.1995,-0.0572,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,4,2,685,11.38,0.9997,0.2187,0.4293,0.2715,0.2996,0.2233,0.0801,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,4,3,911,15.14,1.0,0.8401,0.5366,1.8391,0.5881,0.7007,0.2324,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
strict_earliest_primary,strict_primary,CHARLS,1,4,4,5,0.08,0.8863,1.0084,0.5344,0.4298,-0.891,-0.0141,4.509,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive_affective,cardiometabolic_chronic,functional;cognitive;affective
strict_earliest_primary,strict_primary,CHARLS,1,5,1,4418,73.4,1.0,-0.2316,0.4273,-0.5196,-0.1502,-0.1995,-0.0572,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,CHARLS,1,5,2,400,6.65,0.9105,0.1972,0.508,0.2715,-0.2578,0.3148,0.4604,intermediate_spared_cognitive,,cognitive
strict_earliest_primary,strict_primary,CHARLS,1,5,3,286,4.75,0.8601,0.2495,0.2821,0.2715,1.0715,0.0912,-0.4362,intermediate_high_cognitive_spared_cardiometabolic_chronic,cognitive,cardiometabolic_chronic
strict_earliest_primary,strict_primary,CHARLS,1,5,4,911,15.14,0.9991,0.8394,0.5358,1.8391,0.5861,0.6999,0.2324,high_burden_high_functional_spared_cardiometabolic_chronic,functional,cardiometabolic_chronic
strict_earliest_primary,strict_primary,CHARLS,1,5,5,4,0.07,0.9965,1.3028,0.592,0.4693,-0.1866,0.4195,4.509,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive_affective,cardiometabolic_chronic,functional;cognitive;affective
strict_earliest_primary,strict_primary,ELSA,1,2,1,4819,78.95,0.9998,-0.1994,0.4357,-0.4212,-0.1087,-0.1535,-0.1141,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,ELSA,1,2,2,1285,21.05,1.0,0.7188,0.6814,1.5485,0.3572,0.5771,0.3924,high_burden_high_functional_spared_cognitive,functional,cognitive
strict_earliest_primary,strict_primary,ELSA,1,3,1,4819,78.95,0.9999,-0.1994,0.4357,-0.4212,-0.1087,-0.1535,-0.1141,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,ELSA,1,3,2,624,10.22,0.9997,0.3703,0.4995,0.5706,0.301,0.3121,0.2975,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,ELSA,1,3,3,661,10.83,1.0,1.0477,0.6667,2.4716,0.4103,0.8271,0.4819,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,ELSA,1,4,1,2604,42.66,0.9999,-0.4149,0.3259,-0.4212,-0.1999,-0.1985,-0.8399,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,ELSA,1,4,2,2215,36.29,0.9999,0.054,0.4116,-0.4212,-0.0015,-0.1005,0.7391,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,ELSA,1,4,3,624,10.22,0.9997,0.3703,0.4995,0.5706,0.301,0.3121,0.2975,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,ELSA,1,4,4,661,10.83,1.0,1.0477,0.6667,2.4716,0.4103,0.8271,0.4819,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,ELSA,1,5,1,2604,42.66,1.0,-0.4149,0.3259,-0.4212,-0.1999,-0.1985,-0.8399,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,ELSA,1,5,2,1668,27.33,1.0,-0.0601,0.345,-0.4212,-0.0594,-0.1414,0.3817,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
