analysis_set,analysis_tier,cohort,wave,severity_group,n,pct,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,high,1360,33.33,0.7567,0.7464,0.8726,0.7481,0.6595
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,low,1361,33.35,-0.6628,-0.5934,-0.699,-0.6812,-0.6775
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,middle,1360,33.33,-0.1312,-0.1958,-0.1853,-0.1308,-0.0128
strict_earliest_primary,strict_primary,CHARLS,1,high,2004,33.29,0.6553,0.6272,0.6727,0.7803,0.541
strict_earliest_primary,strict_primary,CHARLS,1,low,2008,33.36,-0.6118,-0.4889,-0.7566,-0.7411,-0.4605
strict_earliest_primary,strict_primary,CHARLS,1,middle,2007,33.34,-0.0937,-0.3525,0.1216,-0.0825,-0.0613
strict_earliest_primary,strict_primary,ELSA,1,high,2035,33.34,0.702,0.6666,0.6288,0.8145,0.6982
strict_earliest_primary,strict_primary,ELSA,1,low,2037,33.37,-0.5841,-0.4017,-0.664,-0.6226,-0.648
strict_earliest_primary,strict_primary,ELSA,1,middle,2032,33.29,-0.1358,-0.2845,0.0039,-0.1906,-0.0722
strict_earliest_primary,strict_primary,HRS,5,high,3398,33.31,0.6787,0.4115,0.7672,0.8307,0.7055
strict_earliest_primary,strict_primary,HRS,5,low,3443,33.75,-0.6277,-0.3985,-0.7618,-0.6432,-0.7072
strict_earliest_primary,strict_primary,HRS,5,middle,3361,32.94,-0.1517,-0.3327,0.0023,-0.1833,-0.093
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,high,9143,33.33,0.6209,0.6629,0.5954,0.6959,0.5293
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,low,9153,33.36,-0.5717,-0.4875,-0.705,-0.6581,-0.4362
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,middle,9137,33.31,-0.0722,-0.2622,0.111,-0.037,-0.1006
strict_earliest_primary,strict_primary,MHAS,1,high,2242,33.3,0.662,0.5605,0.6192,0.7852,0.6833
strict_earliest_primary,strict_primary,MHAS,1,low,2246,33.36,-0.5974,-0.3095,-0.6498,-0.791,-0.6393
strict_earliest_primary,strict_primary,MHAS,1,middle,2245,33.34,-0.068,-0.2372,0.0125,0.0206,-0.0678
strict_earliest_primary,strict_primary,SHARE,1,high,5240,33.33,0.7337,0.6018,0.7571,0.8196,0.7562
strict_earliest_primary,strict_primary,SHARE,1,low,5245,33.36,-0.5976,-0.3432,-0.6678,-0.7229,-0.6563
strict_earliest_primary,strict_primary,SHARE,1,middle,5236,33.31,-0.1383,-0.2658,-0.0904,-0.0994,-0.0979
