analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,aic_endotype,aic_endotype_plus_four_domains,aic_endotype_plus_matched_domain,aic_four_domain_scores,aic_matched_domain_score,aic_severity_score,aic_severity_tertile,auc_endotype,auc_endotype_plus_four_domains,auc_endotype_plus_matched_domain,auc_four_domain_scores,auc_matched_domain_score,auc_severity_score,auc_severity_tertile,bic_llf_endotype,bic_llf_endotype_plus_four_domains,bic_llf_endotype_plus_matched_domain,bic_llf_four_domain_scores,bic_llf_matched_domain_score,bic_llf_severity_score,bic_llf_severity_tertile,event_pct_endotype,event_pct_endotype_plus_four_domains,event_pct_endotype_plus_matched_domain,event_pct_four_domain_scores,event_pct_matched_domain_score,event_pct_severity_score,event_pct_severity_tertile,events_endotype,events_endotype_plus_four_domains,events_endotype_plus_matched_domain,events_four_domain_scores,events_matched_domain_score,events_severity_score,events_severity_tertile,n_endotype,n_endotype_plus_four_domains,n_endotype_plus_matched_domain,n_four_domain_scores,n_matched_domain_score,n_severity_score,n_severity_tertile,delta_aic_severity_tertile_minus_endotype,delta_auc_endotype_minus_severity_tertile,delta_aic_severity_score_minus_endotype,delta_auc_endotype_minus_severity_score,delta_aic_matched_domain_score_minus_endotype,delta_auc_endotype_minus_matched_domain_score,delta_aic_four_domain_scores_minus_endotype,delta_auc_endotype_minus_four_domain_scores,delta_aic_matched_domain_minus_endotype_plus_domain,delta_aic_four_domains_minus_endotype_plus_domains
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,4633.997,4624.361,4622.6,4622.369,4622.826,4640.231,4642.222,0.5641,0.5705,0.5722,0.5701,0.5681,0.5481,0.5565,4659.004,4674.374,4653.859,4659.879,4641.58,4658.986,4667.229,29.63,29.63,29.63,29.63,29.63,29.63,29.63,1136,1136,1136,1136,1136,1136,1136,3834,3834,3834,3834,3834,3834,3834,8.224999999999454,0.007600000000000051,6.233999999999469,0.016000000000000014,-11.171000000000276,-0.0040000000000000036,-11.628000000000611,-0.006000000000000005,0.22599999999965803,-1.9920000000001892
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,4615.966,4050.941,4064.119,4049.411,4094.248,4580.093,4623.008,0.58,0.7496,0.7451,0.7494,0.737,0.5969,0.5748,4640.973,4100.954,4095.378,4086.921,4113.003,4598.848,4648.015,29.84,29.84,29.84,29.84,29.84,29.84,29.84,1144,1144,1144,1144,1144,1144,1144,3834,3834,3834,3834,3834,3834,3834,7.041999999999462,0.005199999999999982,-35.8730000000005,-0.016900000000000026,-521.7180000000003,-0.15700000000000003,-566.5550000000003,-0.1694,30.128999999999905,-1.5299999999997453
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,7927.155,7914.932,7923.9,7911.934,7923.398,7926.421,7928.019,0.5164,0.5381,0.5209,0.5377,0.5116,0.5117,0.5157,7953.765,7968.152,7957.162,7951.848,7943.355,7946.378,7954.629,48.38,48.38,48.38,48.38,48.38,48.38,48.38,2769,2769,2769,2769,2769,2769,2769,5724,5724,5724,5724,5724,5724,5724,0.8640000000004875,0.0006999999999999229,-0.7339999999994689,0.0046999999999999265,-3.756999999999607,0.0047999999999999154,-15.220999999999549,-0.021299999999999986,-0.501999999999498,-2.9979999999995925
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,6721.782,6407.355,6656.989,6418.892,6676.153,6779.579,6706.585,0.6423,0.7024,0.653,0.7012,0.6509,0.6354,0.649,6748.369,6460.528,6690.222,6458.772,6696.093,6799.519,6733.171,31.03,31.03,31.03,31.03,31.03,31.03,31.03,1766,1766,1766,1766,1766,1766,1766,5691,5691,5691,5691,5691,5691,5691,-15.197000000000116,-0.006700000000000039,57.79699999999957,0.006900000000000017,-45.628999999999905,-0.008600000000000052,-302.8900000000003,-0.05890000000000006,19.16400000000067,11.537000000000262
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,6780.52,6765.454,6777.946,6776.837,6789.239,6787.803,6779.345,0.5362,0.5483,0.5373,0.5398,0.5168,0.5215,0.5404,6819.806,6830.932,6823.78,6816.124,6808.882,6807.447,6805.536,62.95,62.95,62.95,62.95,62.95,62.95,62.95,3245,3245,3245,3245,3245,3245,3245,5155,5155,5155,5155,5155,5155,5155,-1.175000000000182,-0.0041999999999999815,7.282999999999447,0.014700000000000046,8.718999999999141,0.019399999999999973,-3.6829999999999927,-0.0035999999999999366,11.292999999999665,11.38300000000072
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,5144.713,5048.613,5130.037,5061.558,5178.797,5148.367,5107.394,0.7394,0.758,0.7426,0.7543,0.7323,0.742,0.7468,5183.997,5114.087,5175.868,5100.842,5198.439,5168.009,5133.583,25.54,25.54,25.54,25.54,25.54,25.54,25.54,1316,1316,1316,1316,1316,1316,1316,5153,5153,5153,5153,5153,5153,5153,-37.318999999999505,-0.007400000000000073,3.654000000000451,-0.0026000000000000467,34.08399999999983,0.007099999999999995,-83.15499999999975,-0.014900000000000024,48.75999999999931,12.944999999999709
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,11075.774,10879.616,10875.596,10898.08,10895.929,11031.791,11043.399,0.6399,0.6519,0.6517,0.6542,0.6541,0.641,0.6383,11118.713,10951.181,10925.692,10941.019,10917.399,11053.26,11072.025,69.96,69.96,69.96,69.96,69.96,69.96,69.96,6629,6629,6629,6629,6629,6629,6629,9476,9476,9476,9476,9476,9476,9476,-32.375,0.0016000000000000458,-43.983000000000175,-0.0010999999999999899,-179.84499999999935,-0.01419999999999999,-177.6939999999995,-0.01429999999999998,20.33300000000054,18.463999999999942
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,11506.008,11308.553,11461.953,11341.104,11624.274,11476.543,11422.677,0.6924,0.7096,0.6958,0.7071,0.6797,0.7015,0.7012,11548.919,11380.07,11512.015,11384.015,11645.729,11497.998,11451.284,37.6,37.6,37.6,37.6,37.6,37.6,37.6,3546,3546,3546,3546,3546,3546,3546,9431,9431,9431,9431,9431,9431,9431,-83.33100000000013,-0.00880000000000003,-29.465000000000146,-0.009099999999999997,118.26599999999962,0.012700000000000045,-164.90400000000045,-0.014699999999999935,162.3209999999999,32.550999999999476
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,8191.593,8145.585,8150.902,8144.629,8146.318,8366.739,8385.327,0.6609,0.668,0.6667,0.6673,0.6667,0.6253,0.6227,8232.068,8213.045,8198.123,8185.105,8166.555,8386.976,8412.311,48.29,48.29,48.29,48.29,48.29,48.29,48.29,3035,3035,3035,3035,3035,3035,3035,6285,6285,6285,6285,6285,6285,6285,193.73399999999947,0.03820000000000001,175.14599999999973,0.035600000000000076,-45.274999999999636,-0.005799999999999916,-46.96399999999994,-0.006399999999999961,-4.583999999999833,-0.956000000000131
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,5972.038,5904.635,5930.577,5910.044,6021.128,6010.301,5995.294,0.6687,0.681,0.6775,0.6783,0.6543,0.666,0.6627,6011.651,5970.656,5976.792,5949.657,6040.935,6030.107,6021.702,26.4,26.4,26.4,26.4,26.4,26.4,26.4,1437,1437,1437,1437,1437,1437,1437,5443,5443,5443,5443,5443,5443,5443,23.256000000000313,0.006000000000000005,38.26300000000083,0.0026999999999999247,49.090000000000146,0.014399999999999968,-61.99399999999969,-0.009600000000000053,90.55099999999948,5.408999999999651
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,16817.297,16620.968,16680.28,16638.347,16703.31,16884.935,16889.156,0.5556,0.5874,0.581,0.5829,0.5724,0.5327,0.5315,16854.345,16687.654,16724.738,16682.804,16725.538,16907.164,16918.794,48.28,48.28,48.28,48.28,48.28,48.28,48.28,5893,5893,5893,5893,5893,5893,5893,12205,12205,12205,12205,12205,12205,12205,71.85900000000038,0.02410000000000001,67.63800000000265,0.02290000000000003,-113.98699999999735,-0.016800000000000037,-178.9499999999971,-0.02729999999999999,23.030000000002474,17.379000000000815
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,4604.766,3926.089,3935.551,4952.028,4963.76,6907.775,7692.058,0.9294,0.9684,0.9684,0.9705,0.971,0.8248,0.7837,4641.814,3992.775,3980.008,4996.486,4985.989,6930.004,7721.696,12.49,12.49,12.49,12.49,12.49,12.49,12.49,1525,1525,1525,1525,1525,1525,1525,12205,12205,12205,12205,12205,12205,12205,3087.2920000000004,0.14570000000000005,2303.009,0.10460000000000003,358.9940000000006,-0.04159999999999997,347.2620000000006,-0.041100000000000025,1028.2090000000003,1025.9390000000003
