analysis_set,analysis_tier,cohort,outcome,model_type,n,events,skip_reason
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,severity_tertile,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,severity_score,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,matched_domain_score,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,four_domain_scores,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,endotype,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,endotype_plus_matched_domain,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,functional_deterioration_ge_0_5sd,endotype_plus_four_domains,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,severity_tertile,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,severity_score,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,matched_domain_score,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,four_domain_scores,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,endotype,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,endotype_plus_matched_domain,0,0,no_available_rows
strict_earliest_primary,strict_primary,LASI,chronic_progression_ge_1_condition,endotype_plus_four_domains,0,0,no_available_rows
