analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,Intercept,Intercept,-2.653701,0.0704,0.0423,0.117,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,-0.588904,0.5549,0.4498,0.6846,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,-0.221254,0.8015,0.672,0.956,0.013905
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age,age,0.031192,1.0317,1.0232,1.0403,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,Intercept,Intercept,-4.34065,0.013,0.0083,0.0205,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,0.638686,1.894,1.6282,2.2032,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.663988,1.9425,1.6751,2.2527,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age,age,0.049577,1.0508,1.0433,1.0584,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,Intercept,Intercept,-6.506992,0.0015,0.0009,0.0024,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,0.843104,2.3236,1.9317,2.795,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.541718,1.719,1.4322,2.0632,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age,age,0.074296,1.0771,1.0694,1.0849,0.0
