analysis_set,analysis_tier,cohort,group_type,group_value,baseline_n,any_followup_n,any_followup_pct,median_followup_rows,max_followup_wave,median_followup_year_span,functional_deterioration_ge_0_5sd_available_n,functional_deterioration_ge_0_5sd_event_n,functional_deterioration_ge_0_5sd_event_pct,cognitive_worsening_ge_0_5sd_available_n,cognitive_worsening_ge_0_5sd_event_n,cognitive_worsening_ge_0_5sd_event_pct,affective_worsening_ge_0_5sd_available_n,affective_worsening_ge_0_5sd_event_n,affective_worsening_ge_0_5sd_event_pct,cardiometabolic_worsening_ge_0_5sd_available_n,cardiometabolic_worsening_ge_0_5sd_event_n,cardiometabolic_worsening_ge_0_5sd_event_pct,chronic_progression_ge_1_condition_available_n,chronic_progression_ge_1_condition_event_n,chronic_progression_ge_1_condition_event_pct
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,endotype_class,1,1986,1870,94.16,5.0,8,10.0,1870,505,27.01,255,100,39.22,91,18,19.78,1870,622,33.26,1870,622,33.26
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,endotype_class,2,1428,1373,96.15,5.0,8,10.0,1373,490,35.69,235,109,46.38,53,17,32.08,1373,386,28.11,1373,386,28.11
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,endotype_class,3,667,591,88.61,4.0,8,10.0,591,149,25.21,169,76,44.97,60,19,31.67,591,127,21.49,591,128,21.66
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,overall,all,4081,3834,93.95,5.0,8,10.0,3834,1144,29.84,659,285,43.25,204,54,26.47,3834,1135,29.6,3834,1136,29.63
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,severity_tertile,high,1360,1211,89.04,4.0,8,10.0,1211,337,27.83,339,152,44.84,124,35,28.23,1211,296,24.44,1211,297,24.53
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,severity_tertile,low,1361,1313,96.47,5.0,8,10.0,1313,406,30.92,118,43,36.44,25,3,12.0,1313,408,31.07,1313,408,31.07
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,severity_tertile,middle,1360,1310,96.32,5.0,8,10.0,1310,401,30.61,202,90,44.55,55,16,29.09,1310,431,32.9,1310,431,32.9
strict_earliest_primary,strict_primary,CHARLS,endotype_class,1,4419,4231,95.75,4.0,5,9.0,4207,1376,32.71,3819,1451,37.99,3835,1376,35.88,4223,1519,35.97,4231,2028,47.93
strict_earliest_primary,strict_primary,CHARLS,endotype_class,2,687,659,95.92,4.0,5,9.0,656,196,29.88,577,198,34.32,584,183,31.34,659,237,35.96,659,326,49.47
strict_earliest_primary,strict_primary,CHARLS,endotype_class,3,913,834,91.35,4.0,5,9.0,828,194,23.43,640,231,36.09,654,154,23.55,834,294,35.25,834,415,49.76
strict_earliest_primary,strict_primary,CHARLS,overall,all,6019,5724,95.1,4.0,5,9.0,5691,1766,31.03,5036,1880,37.33,5073,1713,33.77,5716,2050,35.86,5724,2769,48.38
strict_earliest_primary,strict_primary,CHARLS,severity_tertile,high,2006,1876,93.52,4.0,5,9.0,1861,702,37.72,1518,446,29.38,1549,360,23.24,1875,565,30.13,1876,906,48.29
strict_earliest_primary,strict_primary,CHARLS,severity_tertile,low,2007,1917,95.52,4.0,5,9.0,1908,387,20.28,1791,794,44.33,1790,755,42.18,1914,796,41.59,1917,913,47.63
strict_earliest_primary,strict_primary,CHARLS,severity_tertile,middle,2006,1931,96.26,4.0,5,9.0,1922,677,35.22,1727,640,37.06,1734,598,34.49,1927,689,35.76,1931,950,49.2
strict_earliest_primary,strict_primary,ELSA,endotype_class,1,2604,2276,87.4,6.0,9,15.0,2276,422,18.54,2146,1113,51.86,2127,722,33.94,2276,1397,61.38,2276,1397,61.38
strict_earliest_primary,strict_primary,ELSA,endotype_class,2,1668,1425,85.43,5.0,9,12.0,1423,369,25.93,1314,754,57.38,1307,477,36.5,1425,455,31.93,1425,915,64.21
strict_earliest_primary,strict_primary,ELSA,endotype_class,3,624,496,79.49,3.0,9,9.0,496,186,37.5,438,260,59.36,430,173,40.23,496,224,45.16,496,324,65.32
strict_earliest_primary,strict_primary,ELSA,endotype_class,4,549,442,80.51,3.0,9,8.0,442,194,43.89,389,226,58.1,385,164,42.6,442,89,20.14,442,267,60.41
strict_earliest_primary,strict_primary,ELSA,endotype_class,5,659,516,78.3,3.0,9,8.5,516,145,28.1,452,276,61.06,444,164,36.94,516,234,45.35,516,342,66.28
strict_earliest_primary,strict_primary,ELSA,overall,all,6104,5155,84.45,5.0,9,12.0,5153,1316,25.54,4739,2629,55.48,4693,1700,36.22,5155,2399,46.54,5155,3245,62.95
strict_earliest_primary,strict_primary,ELSA,severity_tertile,high,2035,1591,78.18,3.0,9,8.0,1591,616,38.72,1387,747,53.86,1361,430,31.59,1591,589,37.02,1591,1002,62.98
strict_earliest_primary,strict_primary,ELSA,severity_tertile,low,2035,1819,89.39,7.0,9,16.0,1818,235,12.93,1739,1011,58.14,1730,648,37.46,1819,1015,55.8,1819,1111,61.08
strict_earliest_primary,strict_primary,ELSA,severity_tertile,middle,2034,1745,85.79,5.0,9,12.0,1744,465,26.66,1613,871,54.0,1602,622,38.83,1745,795,45.56,1745,1132,64.87
strict_earliest_primary,strict_primary,HRS,endotype_class,1,3596,3461,96.25,8.0,15,18.0,3441,914,26.56,3058,1568,51.28,3057,1044,34.15,3461,2016,58.25,3461,2678,77.38
strict_earliest_primary,strict_primary,HRS,endotype_class,2,4428,4108,92.77,6.0,15,14.0,4095,1751,42.76,3364,1792,53.27,3360,1312,39.05,4108,1886,45.91,4108,2753,67.02
strict_earliest_primary,strict_primary,HRS,endotype_class,3,870,769,88.39,4.0,15,10.0,767,381,49.67,607,320,52.72,607,254,41.85,769,380,49.41,769,475,61.77
strict_earliest_primary,strict_primary,HRS,endotype_class,4,659,592,89.83,5.0,15,12.0,586,269,45.9,464,232,50.0,463,92,19.87,592,344,58.11,592,411,69.43
strict_earliest_primary,strict_primary,HRS,endotype_class,5,649,546,84.13,3.0,15,9.0,542,231,42.62,421,220,52.26,419,127,30.31,546,232,42.49,546,312,57.14
strict_earliest_primary,strict_primary,HRS,overall,all,10202,9476,92.88,7.0,15,15.0,9431,3546,37.6,7914,4132,52.21,7906,2829,35.78,9476,4858,51.27,9476,6629,69.96
strict_earliest_primary,strict_primary,HRS,severity_tertile,high,3401,2963,87.12,4.0,15,10.0,2947,1503,51.0,2243,1020,45.47,2237,624,27.89,2963,1325,44.72,2963,1759,59.37
strict_earliest_primary,strict_primary,HRS,severity_tertile,low,3401,3288,96.68,9.0,15,18.0,3277,791,24.14,2983,1758,58.93,2982,1198,40.17,3288,1812,55.11,3288,2503,76.13
strict_earliest_primary,strict_primary,HRS,severity_tertile,middle,3400,3225,94.85,7.0,15,16.0,3207,1252,39.04,2688,1354,50.37,2687,1007,37.48,3225,1721,53.36,3225,2367,73.4
strict_earliest_primary,strict_primary,LASI,endotype_class,1,15915,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,LASI,endotype_class,2,5641,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,LASI,endotype_class,3,5877,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,LASI,overall,all,27433,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,LASI,severity_tertile,high,9144,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,LASI,severity_tertile,low,9145,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,LASI,severity_tertile,middle,9144,0,0.0,0.0,,,0,0,,0,0,,0,0,,0,0,,0,0,
strict_earliest_primary,strict_primary,MHAS,endotype_class,1,2719,2559,94.12,4.0,5,17.0,2274,452,19.88,2278,1104,48.46,2277,735,32.28,2558,1542,60.28,2559,1542,60.26
strict_earliest_primary,strict_primary,MHAS,endotype_class,2,2267,2143,94.53,3.0,5,17.0,1875,541,28.85,1881,974,51.78,1876,626,33.37,2143,482,22.49,2143,941,43.91
strict_earliest_primary,strict_primary,MHAS,endotype_class,3,760,701,92.24,2.0,5,13.0,595,221,37.14,595,299,50.25,595,179,30.08,701,54,7.7,701,177,25.25
strict_earliest_primary,strict_primary,MHAS,endotype_class,4,467,411,88.01,2.0,5,11.0,314,92,29.3,314,154,49.04,314,80,25.48,411,173,42.09,411,185,45.01
strict_earliest_primary,strict_primary,MHAS,endotype_class,5,520,471,90.58,2.0,5,13.0,385,131,34.03,386,186,48.19,386,97,25.13,471,114,24.2,471,190,40.34
strict_earliest_primary,strict_primary,MHAS,overall,all,6733,6285,93.35,3.0,5,16.0,5443,1437,26.4,5454,2717,49.82,5448,1717,31.52,6284,2365,37.64,6285,3035,48.29
strict_earliest_primary,strict_primary,MHAS,severity_tertile,high,2244,2041,90.95,2.0,5,14.0,1695,585,34.51,1700,719,42.29,1698,342,20.14,2041,459,22.49,2041,748,36.65
strict_earliest_primary,strict_primary,MHAS,severity_tertile,low,2245,2122,94.52,4.0,5,17.0,1915,365,19.06,1918,1116,58.19,1915,801,41.83,2121,1088,51.3,2122,1198,56.46
strict_earliest_primary,strict_primary,MHAS,severity_tertile,middle,2244,2122,94.56,3.0,5,17.0,1833,487,26.57,1836,882,48.04,1835,574,31.28,2122,818,38.55,2122,1089,51.32
strict_earliest_primary,strict_primary,SHARE,endotype_class,1,6678,5290,79.22,3.0,8,12.0,5290,217,4.1,5184,1925,37.13,5290,1362,25.75,5271,2448,46.44,5290,2727,51.55
strict_earliest_primary,strict_primary,SHARE,endotype_class,2,5896,4727,80.17,2.0,8,11.0,4727,0,0.0,4604,1877,40.77,4727,1367,28.92,4727,1104,23.36,4727,2065,43.69
strict_earliest_primary,strict_primary,SHARE,endotype_class,3,2009,1495,74.42,2.0,8,9.0,1495,782,52.31,1412,637,45.11,1495,458,30.64,1495,498,33.31,1495,767,51.3
strict_earliest_primary,strict_primary,SHARE,endotype_class,4,1138,693,60.9,1.0,8,6.0,693,526,75.9,616,287,46.59,693,178,25.69,691,240,34.73,693,334,48.2
strict_earliest_primary,strict_primary,SHARE,overall,all,15721,12205,77.64,2.0,8,11.0,12205,1525,12.49,11816,4726,40.0,12205,3365,27.57,12184,4290,35.21,12205,5893,48.28
strict_earliest_primary,strict_primary,SHARE,severity_tertile,high,5240,3809,72.69,1.0,8,9.0,3809,1128,29.61,3577,1387,38.78,3809,932,24.47,3803,1153,30.32,3809,1829,48.02
strict_earliest_primary,strict_primary,SHARE,severity_tertile,low,5241,4205,80.23,3.0,8,12.0,4205,103,2.45,4153,1806,43.49,4205,1271,30.23,4196,1659,39.54,4205,1989,47.3
strict_earliest_primary,strict_primary,SHARE,severity_tertile,middle,5240,4191,79.98,2.0,8,11.0,4191,294,7.02,4086,1533,37.52,4191,1162,27.73,4185,1478,35.32,4191,2075,49.51
