analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,aic_endotype,aic_severity_tertile,auc_endotype,auc_severity_tertile,bic_llf_endotype,bic_llf_severity_tertile,event_pct_endotype,event_pct_severity_tertile,events_endotype,events_severity_tertile,n_endotype,n_severity_tertile,delta_aic_favors_endotype,delta_auc_endotype_minus_severity
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,4633.997,4642.222,0.5641,0.5565,4659.004,4667.229,29.63,29.63,1136,1136,3834,3834,8.224999999999454,0.007600000000000051
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,4615.966,4623.008,0.58,0.5748,4640.973,4648.015,29.84,29.84,1144,1144,3834,3834,7.041999999999462,0.005199999999999982
strict_earliest_primary,strict_primary,CHARLS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,7927.155,7928.019,0.5164,0.5157,7953.765,7954.629,48.38,48.38,2769,2769,5724,5724,0.8640000000004875,0.0006999999999999229
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,6721.782,6706.585,0.6423,0.649,6748.369,6733.171,31.03,31.03,1766,1766,5691,5691,-15.197000000000116,-0.006700000000000039
strict_earliest_primary,strict_primary,ELSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,6780.52,6779.345,0.5362,0.5404,6819.806,6805.536,62.95,62.95,3245,3245,5155,5155,-1.175000000000182,-0.0041999999999999815
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,5144.713,5107.394,0.7394,0.7468,5183.997,5133.583,25.54,25.54,1316,1316,5153,5153,-37.318999999999505,-0.007400000000000073
strict_earliest_primary,strict_primary,HRS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,11075.774,11043.399,0.6399,0.6383,11118.713,11072.025,69.96,69.96,6629,6629,9476,9476,-32.375,0.0016000000000000458
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,11506.008,11422.677,0.6924,0.7012,11548.919,11451.284,37.6,37.6,3546,3546,9431,9431,-83.33100000000013,-0.00880000000000003
strict_earliest_primary,strict_primary,MHAS,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,8191.593,8385.327,0.6609,0.6227,8232.068,8412.311,48.29,48.29,3035,3035,6285,6285,193.73399999999947,0.03820000000000001
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,5972.038,5995.294,0.6687,0.6627,6011.651,6021.702,26.4,26.4,1437,1437,5443,5443,23.256000000000313,0.006000000000000005
strict_earliest_primary,strict_primary,SHARE,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,secondary,16817.297,16889.156,0.5556,0.5315,16854.345,16918.794,48.28,48.28,5893,5893,12205,12205,71.85900000000038,0.02410000000000001
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,4604.766,7692.058,0.9294,0.7837,4641.814,7721.696,12.49,12.49,1525,1525,12205,12205,3087.2920000000004,0.14570000000000005
