analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,model_type,adjustment,n,events,event_pct,aic,bic_llf,auc,converged,reference
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,unadjusted,3834,1144,29.84,4644.303,4663.058,0.5533,1,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,unadjusted,5691,1766,31.03,7026.033,7045.973,0.5315,1,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,unadjusted,5153,1316,25.54,5696.871,5729.607,0.6094,1,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,unadjusted,9431,3546,37.6,12195.581,12231.34,0.5943,1,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,unadjusted,5443,1437,26.4,6189.778,6222.788,0.584,1,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,unadjusted,12205,1525,12.49,4653.715,4683.353,0.9266,1,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,age_adjusted,3834,1144,29.84,4615.966,4640.973,0.58,1,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,age_adjusted,5691,1766,31.03,6721.782,6748.369,0.6423,1,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,age_adjusted,5153,1316,25.54,5144.713,5183.997,0.7394,1,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,age_adjusted,9431,3546,37.6,11506.008,11548.919,0.6924,1,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,age_adjusted,5443,1437,26.4,5972.038,6011.651,0.6687,1,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,endotype,age_adjusted,12205,1525,12.49,4604.766,4641.814,0.9294,1,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,severity_tertile,unadjusted,3834,1144,29.84,4676.082,4694.837,0.516,1,low
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,severity_tertile,unadjusted,5691,1766,31.03,6890.993,6910.932,0.5906,1,low
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,severity_tertile,unadjusted,5153,1316,25.54,5552.294,5571.936,0.6501,1,low
