analysis_set,analysis_tier,cohort,wave,method,target_classes,n,observed_classes,min_class_pct,max_class_pct,ari_vs_selected_full_gmm,silhouette_sample,bic,aic,entropy,converged,min_covariance_variance_or_eigen,max_covariance_condition,covariance_guardrail_flag,fit_status
strict_earliest_primary,strict_primary,CHARLS,1,selected_full_gmm_reference,3,6019,3,11.41385612227945,73.41751121448745,1.0,0.11132282575970748,,,,,,,,ok
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,6019,3,11.41385612227945,73.41751121448745,1.0,0.11660498384498115,405.85609978114053,231.5865130808985,0.9997016897885537,1.0,9.99999999278355e-07,1130269.9980066437,1.0,ok
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,6019,3,15.667054327961456,53.76308356869912,0.2070475747011321,0.2865067411862942,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,6019,3,33.32779531483635,33.3444093703273,0.12270328390917416,0.13242214822939435,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,ELSA,1,selected_full_gmm_reference,5,6104,5,8.994102228047183,42.6605504587156,1.0,0.20416700842862176,,,,,,,,ok
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,5,6104,5,8.994102228047183,42.6605504587156,1.0,0.2019841208538912,-58779.070767048775,-59074.605548259206,0.9997941646919801,1.0,9.999999976685316e-07,1286514.9826748616,1.0,ok
strict_earliest_primary,strict_primary,ELSA,1,kmeans,5,6104,5,7.912844036697248,44.88859764089122,0.242876772262819,0.2932135455561088,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,5,6104,5,19.986893840104848,20.00327653997379,0.1787065812014447,0.057570860344172206,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,HRS,5,selected_full_gmm_reference,5,10202,5,6.36149774554009,43.403254263869826,1.0,0.16736651569399275,,,,,,,,ok
strict_earliest_primary,strict_primary,HRS,5,gmm_diag,5,10202,4,2.9994118800235245,81.46441874142324,0.3571413503416107,-0.0341275466080207,-12212.298743554637,-12530.433662127884,0.9832836644607192,1.0,9.999999999444888e-07,1749557.072113541,1.0,ok
strict_earliest_primary,strict_primary,HRS,5,kmeans,5,10202,5,6.12624975495001,41.501666339933344,0.17120671387655645,0.28797864186841765,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,5,10202,5,19.99607920015683,20.00588119976475,0.14876618425340907,0.07164901669189154,,,,1.0,,,0.0,ok
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,selected_full_gmm_reference,3,4081,3,16.344033325165398,48.664543004165644,1.0,0.20376448078703713,,,,,,,,ok
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,gmm_diag,3,4081,3,20.558686596422447,48.54202401372213,0.912960959671792,0.19489940666123046,17712.989901296245,17548.823370575694,0.9172037652538934,1.0,1.0000000004440892e-06,839691.7099276845,1.0,ok
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,kmeans,3,4081,3,22.445479049252633,41.38691497182063,0.6877916904039865,0.25647512578149045,,,,1.0,,,0.0,ok
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,severity_quantile_k,3,4081,3,33.3251654006371,33.3496691987258,0.2174886300028439,0.13856560419567823,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,selected_full_gmm_reference,3,27433,3,20.56282579375205,58.0140706448438,1.0,0.17599678518584022,,,,,,,,ok
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,gmm_diag,3,27433,3,21.423103561404147,56.59607042612912,0.9550773167694934,0.17768667963181978,33869.84559412587,33656.13854349725,0.8461625084464157,1.0,1.0000000013322676e-06,976180.2518713126,1.0,ok
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,kmeans,3,27433,3,17.588306054751577,49.06863995917326,0.6175225634989141,0.2471600446363721,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,severity_quantile_k,3,27433,3,33.3321182517406,33.33576349651879,0.09023839485725521,0.09222698665959683,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,MHAS,1,selected_full_gmm_reference,5,6733,5,6.935986930046043,40.383187286499336,1.0,0.18314102009124422,,,,,,,,ok
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,5,6733,5,7.218179117778107,40.383187286499336,0.9513486194398773,0.18035682432248074,-65254.06450074441,-65553.9146486404,0.9880335636051855,1.0,9.999999999167332e-07,970437.570001039,1.0,ok
strict_earliest_primary,strict_primary,MHAS,1,kmeans,5,6733,5,4.589336105747809,35.407693450170804,0.19453982051175472,0.28204059600800646,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,5,6733,5,19.99108866775583,20.00594088816278,0.1435998426199166,0.05859110389649802,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,SHARE,1,selected_full_gmm_reference,4,15721,4,7.238725271929266,42.47821385408053,1.0,0.19605655252610749,,,,,,,,ok
strict_earliest_primary,strict_primary,SHARE,1,gmm_diag,4,15721,4,7.2896126200623375,75.63768208129254,0.3666231899404777,0.10768029249220337,-4060.151681267962,-4328.348024969665,0.9764547210090307,1.0,9.999999990285548e-07,1118279.8539370322,1.0,ok
strict_earliest_primary,strict_primary,SHARE,1,kmeans,4,15721,4,5.025125628140704,53.10730869537561,0.2155955487886838,0.31439253318637844,,,,1.0,,,0.0,ok
strict_earliest_primary,strict_primary,SHARE,1,severity_quantile_k,4,15721,4,24.99840977037084,25.004770688887472,0.17550113081247778,0.07696968180818023,,,,1.0,,,0.0,ok
