analysis_set,analysis_tier,cohort,wave,method,class,n,class_pct,mean_functional_score,mean_cognitive_score,mean_affective_score,mean_cardiometabolic_chronic_score
strict_earliest_primary,strict_primary,CHARLS,1,selected_full_gmm_reference,1,4419,73.41751121448745,-0.519627398220761,-0.15051527782536753,-0.19973335968287048,-0.055958403365264475
strict_earliest_primary,strict_primary,CHARLS,1,selected_full_gmm_reference,2,687,11.41385612227945,0.27153374538556957,0.2962289773371737,0.22282489611039635,0.09455361982887356
strict_earliest_primary,strict_primary,CHARLS,1,selected_full_gmm_reference,3,913,15.168632663233094,1.8373915619207715,0.5855572967915416,0.7003937123171686,0.23948833591205027
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,1,4419,73.41751121448745,-0.519627398220761,-0.15051527782536753,-0.19973335968287048,-0.055958403365264475
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,2,687,11.41385612227945,0.27153374538556957,0.2962289773371737,0.22282489611039635,0.09455361982887356
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,913,15.168632663233094,1.8373915619207715,0.5855572967915416,0.7003937123171686,0.23948833591205027
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,1,3236,53.76308356869912,-0.42476629694781415,-0.3561057964258686,-0.5225447271252126,-0.40738993692005904
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,2,943,15.667054327961456,-0.10684767112180588,-0.30107877331962757,-0.05738979303632062,1.8658782745341667
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,1840,30.569862103339425,0.5669292375907594,0.8202563843290959,0.8994520425789406,-0.22004259455074668
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,1,2006,33.32779531483635,-0.4888644026069556,-0.7560611480078043,-0.7420072794286673,-0.4613040571711345
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,2,2006,33.32779531483635,-0.3524029092431517,0.12059756356865874,-0.08379614593400075,-0.061525091605563846
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,2007,33.3444093703273,0.6255261255342917,0.671517716530116,0.7805082799264197,0.5406707899776237
strict_earliest_primary,strict_primary,ELSA,1,selected_full_gmm_reference,1,2604,42.6605504587156,-0.4211569754067934,-0.1999468424949133,-0.19854401072542477,-0.8398771482108877
strict_earliest_primary,strict_primary,ELSA,1,selected_full_gmm_reference,2,1668,27.32634338138925,-0.4211569754067933,-0.05939660728223277,-0.14135578309799063,0.3816916965124252
strict_earliest_primary,strict_primary,ELSA,1,selected_full_gmm_reference,3,624,10.222804718217562,0.5706100966187787,0.3009844197542078,0.3121363113139225,0.2975130741997609
strict_earliest_primary,strict_primary,ELSA,1,selected_full_gmm_reference,4,549,8.994102228047183,-0.4211569754067934,0.20460671499293856,0.0296788117389883,1.827993607387021
strict_earliest_primary,strict_primary,ELSA,1,selected_full_gmm_reference,5,659,10.796199213630405,2.4804013172567916,0.38632672998959233,0.8249962504039178,0.47854597896582896
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,1,2604,42.6605504587156,-0.4211569754067934,-0.1999468424949133,-0.19854401072542477,-0.8398771482108877
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,2,1668,27.32634338138925,-0.4211569754067933,-0.05939660728223277,-0.14135578309799063,0.3816916965124252
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,3,624,10.222804718217562,0.5706100966187787,0.3009844197542078,0.3121363113139225,0.2975130741997609
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,4,549,8.994102228047183,-0.4211569754067934,0.20460671499293856,0.0296788117389883,1.827993607387021
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,5,659,10.796199213630405,2.4804013172567916,0.38632672998959233,0.8249962504039178,0.47854597896582896
strict_earliest_primary,strict_primary,ELSA,1,kmeans,1,2740,44.88859764089122,-0.32198026820423614,-0.6297072800030528,-0.5272453001353175,-0.42436540978675363
strict_earliest_primary,strict_primary,ELSA,1,kmeans,2,1273,20.855176933158585,-0.24352705205892972,0.9572247570342114,-0.38379756381801144,-0.23341091893741278
strict_earliest_primary,strict_primary,ELSA,1,kmeans,3,912,14.941022280471822,-0.1656029601370462,0.09868741664358355,1.6188790207689674,-0.2076616934856645
strict_earliest_primary,strict_primary,ELSA,1,kmeans,4,696,11.402359108781127,-0.07489347181165833,0.18456542810191545,-0.050636528022604495,1.9121630077174951
strict_earliest_primary,strict_primary,ELSA,1,kmeans,5,483,7.912844036697248,2.8067060416205334,0.46250089085570234,1.0227763611963814,0.5644211976123409
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,1,1221,20.00327653997379,-0.4138466530085705,-0.8383585778961953,-0.6946406730234244,-0.782850592806114
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,2,1221,20.00327653997379,-0.37891955710595004,-0.35680494491651904,-0.4823835063438536,-0.3666567849396946
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,3,1220,19.986893840104848,-0.29434085800024484,0.026304874485258926,-0.20696887401570555,-0.10192941168541111
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,4,1221,20.00327653997379,-0.09056795139826938,0.3136107239252816,0.29812429395096846,0.30565628930606
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,5,1221,20.00327653997379,1.1448765339013989,0.8020324171063974,1.0872956520694463,0.9081868681222887
strict_earliest_primary,strict_primary,HRS,5,selected_full_gmm_reference,1,3596,35.24799059008038,-0.4133090258613598,-0.2964715084701691,-0.2704705343285569,-0.9894269276857484
strict_earliest_primary,strict_primary,HRS,5,selected_full_gmm_reference,2,4428,43.403254263869826,-0.4133090258613597,-0.005272723308964118,-0.20973490621345073,0.5071262767371529
strict_earliest_primary,strict_primary,HRS,5,selected_full_gmm_reference,3,870,8.527739658890415,0.39528148245099265,0.3902809899303266,0.3469802712612003,0.45544299309610436
strict_earliest_primary,strict_primary,HRS,5,selected_full_gmm_reference,4,659,6.45951774161929,0.7682883330230033,0.4900018704827381,1.5035725063972105,0.0121960452865319
strict_earliest_primary,strict_primary,HRS,5,selected_full_gmm_reference,5,649,6.36149774554009,2.117118281353413,0.6452942197813327,0.9257224752630409,0.8594857404510652
