analysis_set,analysis_tier,cohort,wave,method,target_classes,n,observed_classes,min_class_pct,ari_vs_selected_full_gmm,silhouette_sample,bootstrap_replicates,bootstrap_converged_pct,median_ari_vs_full_fit,p10_ari_vs_full_fit,min_ari_vs_full_fit,median_replicate_min_class_pct,covariance_guardrail_flag,phase62_gate_pass,phase62_gate_conclusion
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,gmm_diag,3,4081,3,20.558686596422447,0.912960959671792,0.19489940666123046,100,100.0,0.2346050095955242,0.20469912703662707,0.19486241847901503,21.012006861063462,1,0,fails_covariance_guardrail
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,kmeans,3,4081,3,22.445479049252633,0.6877916904039865,0.25647512578149045,100,100.0,0.5092157896673697,0.4525323820972937,0.40505711813218737,19.40700808625337,0,0,fails_bootstrap_ari_gate
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,severity_quantile_k,3,4081,3,33.3251654006371,0.2174886300028439,0.13856560419567823,100,100.0,1.0,1.0,1.0,33.3251654006371,0,1,stable_severity_strata_not_latent_profile
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,6019,3,11.41385612227945,1.0,0.11660498384498115,100,100.0,1.0,0.9275211171727039,0.6372955135513757,11.41385612227945,1,0,fails_covariance_guardrail
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,6019,3,15.667054327961456,0.2070475747011321,0.2878946581728152,100,100.0,0.8903334435658959,0.270567611091544,0.25279346607275344,15.459378634324638,0,0,fails_bootstrap_ari_gate
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,6019,3,33.32779531483635,0.12270328390917416,0.12737175706855974,100,100.0,1.0,1.0,1.0,33.32779531483635,0,1,stable_severity_strata_not_latent_profile
strict_earliest_primary,strict_primary,ELSA,1,gmm_diag,5,6104,5,8.994102228047183,1.0,0.20329461395680176,100,100.0,0.8845435744385943,0.34213272293006586,0.28026582787102794,5.348951507208388,1,0,fails_covariance_guardrail
strict_earliest_primary,strict_primary,ELSA,1,kmeans,5,6104,5,7.912844036697248,0.242876772262819,0.29156735147284696,100,100.0,0.8880023164092862,0.4307385578255181,0.41180152769193024,7.847313237221494,0,0,fails_bootstrap_ari_gate
strict_earliest_primary,strict_primary,ELSA,1,severity_quantile_k,5,6104,5,19.986893840104848,0.1787065812014447,0.057340007714441935,100,100.0,1.0,1.0,1.0,19.986893840104848,0,1,stable_severity_strata_not_latent_profile
strict_earliest_primary,strict_primary,HRS,5,gmm_diag,5,10202,4,2.9994118800235245,0.3571413503416107,-0.02871865091440469,100,100.0,0.9811197822686408,0.4020989199082548,0.35859673053805463,0.4361889825524407,1,0,fails_covariance_guardrail
strict_earliest_primary,strict_primary,HRS,5,kmeans,5,10202,5,6.12624975495001,0.17120671387655645,0.28731460745382165,100,100.0,0.8868499346551203,0.7905318778527203,0.6970366463449862,6.15565575377377,0,0,fails_stability_gate
strict_earliest_primary,strict_primary,HRS,5,severity_quantile_k,5,10202,5,19.99607920015683,0.14876618425340907,0.07131541577578683,100,100.0,1.0,1.0,1.0,19.99607920015683,0,1,stable_severity_strata_not_latent_profile
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,gmm_diag,3,27433,3,21.423103561404147,0.9550773167694934,0.1783679737287534,100,100.0,0.9837202867927667,0.1960842955255331,0.16028483072434316,21.423103561404147,1,0,fails_covariance_guardrail
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,kmeans,3,27433,3,17.588306054751577,0.6175225634989141,0.24328150516853503,100,100.0,0.9590301327303699,0.8198794509020245,0.24182116755185779,17.58466080997339,0,1,passes_phase62_model_based_stability_gate
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,severity_quantile_k,3,27433,3,33.3321182517406,0.09023839485725521,0.09469459657680593,100,100.0,1.0,1.0,1.0,33.3321182517406,0,1,stable_severity_strata_not_latent_profile
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,5,6733,5,7.218179117778107,0.9513486194398773,0.17920079218420773,100,100.0,0.8366386748768329,0.29073775555209824,0.23508567859379034,3.5274023466508244,1,0,fails_covariance_guardrail
strict_earliest_primary,strict_primary,MHAS,1,kmeans,5,6733,5,4.589336105747809,0.19453982051175472,0.2812943204689439,100,100.0,0.922424784690277,0.46875078036017376,0.4460291155970961,4.60418832615476,0,0,fails_min_class_gate
strict_earliest_primary,strict_primary,MHAS,1,severity_quantile_k,5,6733,5,19.99108866775583,0.1435998426199166,0.05879866415549318,100,100.0,1.0,1.0,1.0,19.99108866775583,0,1,stable_severity_strata_not_latent_profile
strict_earliest_primary,strict_primary,SHARE,1,gmm_diag,4,15721,4,7.2896126200623375,0.3666231899404777,0.10964041157308338,100,100.0,0.9643758318662023,0.9625781529803147,0.3668469352384079,6.806182812798168,1,0,fails_covariance_guardrail
strict_earliest_primary,strict_primary,SHARE,1,kmeans,4,15721,4,5.025125628140704,0.2155955487886838,0.3163622209225973,100,100.0,0.9707022391013964,0.9343079168094143,0.8901433634531346,4.983779657782584,0,1,passes_phase62_model_based_stability_gate
strict_earliest_primary,strict_primary,SHARE,1,severity_quantile_k,4,15721,4,24.99840977037084,0.17550113081247778,0.0806631774086543,100,100.0,0.9994911481000808,0.9994911481000808,0.9994911481000808,24.99840977037084,0,1,stable_severity_strata_not_latent_profile
