analysis_set,analysis_tier,cohort,outcome,model_type,term,term_label,log_hr,hr,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.303046,1.354,1.0046,1.8249,0.046603
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,0.812265,2.253,1.6866,3.0096,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,severity_tertile,age,age,0.102234,1.1076,1.0976,1.1178,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.40554,1.5001,1.1844,1.9,0.00077
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,0.817922,2.2658,1.8183,2.8234,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,severity_tertile,age,age,0.100697,1.1059,1.0976,1.1144,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.550006,1.7333,1.1775,2.5514,0.005301
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,1.15584,3.1767,2.1924,4.6029,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,severity_tertile,age,age,0.103243,1.1088,1.0954,1.1222,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,severity_tertile,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,0.401135,1.4935,1.3853,1.6102,0.0
