analysis_set,analysis_tier,cohort,group_type,group_value,baseline_n,mortality_followup_available_n,mortality_followup_available_pct,death_n,death_pct,median_followup_time_years,max_followup_time_years
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,endotype_class,1,1986,1932,97.28,245,12.68,10.0,10.79
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,endotype_class,2,1428,1406,98.46,222,15.79,10.0,10.88
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,endotype_class,3,667,652,97.75,259,39.72,10.0,10.88
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,overall,all,4081,3990,97.77,726,18.2,10.0,10.88
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,severity_tertile,high,1360,1329,97.72,489,36.79,10.0,10.88
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,severity_tertile,low,1361,1326,97.43,62,4.68,10.0,10.79
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,severity_tertile,middle,1360,1335,98.16,175,13.11,10.0,10.88
strict_earliest_primary,strict_primary,CHARLS,endotype_class,1,4419,4305,97.42,385,8.94,9.0,9.12
strict_earliest_primary,strict_primary,CHARLS,endotype_class,2,687,676,98.4,90,13.31,9.0,9.0
strict_earliest_primary,strict_primary,CHARLS,endotype_class,3,913,891,97.59,229,25.7,9.0,9.29
strict_earliest_primary,strict_primary,CHARLS,overall,all,6019,5872,97.56,704,11.99,9.0,9.29
strict_earliest_primary,strict_primary,CHARLS,severity_tertile,high,2006,1966,98.01,396,20.14,9.0,9.29
strict_earliest_primary,strict_primary,CHARLS,severity_tertile,low,2007,1939,96.61,105,5.42,9.0,9.0
strict_earliest_primary,strict_primary,CHARLS,severity_tertile,middle,2006,1967,98.06,203,10.32,9.0,9.21
strict_earliest_primary,strict_primary,ELSA,endotype_class,1,2604,2283,87.67,66,2.89,15.0,17.0
strict_earliest_primary,strict_primary,ELSA,endotype_class,2,1668,1440,86.33,86,5.97,12.0,17.0
strict_earliest_primary,strict_primary,ELSA,endotype_class,3,624,512,82.05,60,11.72,10.0,17.0
strict_earliest_primary,strict_primary,ELSA,endotype_class,4,549,457,83.24,59,12.91,10.0,17.0
strict_earliest_primary,strict_primary,ELSA,endotype_class,5,659,545,82.7,82,15.05,9.0,17.0
strict_earliest_primary,strict_primary,ELSA,overall,all,6104,5237,85.8,353,6.74,12.0,17.0
strict_earliest_primary,strict_primary,ELSA,severity_tertile,high,2035,1656,81.38,214,12.92,8.46,17.0
strict_earliest_primary,strict_primary,ELSA,severity_tertile,low,2035,1821,89.48,36,1.98,16.0,17.0
strict_earliest_primary,strict_primary,ELSA,severity_tertile,middle,2034,1760,86.53,103,5.85,12.0,17.0
strict_earliest_primary,strict_primary,HRS,endotype_class,1,3596,3526,98.05,1292,36.64,18.75,21.12
strict_earliest_primary,strict_primary,HRS,endotype_class,2,4428,4365,98.58,2686,61.53,14.96,21.29
