analysis_set,analysis_tier,cohort,wave,n_classes,class,class_n,class_pct,profile_label,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,chronic_progression_ge_1_condition_event_pct,chronic_or_formatted,death_pct,mortality_hr_formatted,class_outcome_note
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,1,1986,48.66,intermediate_spared_cardiometabolic_chronic,-0.3526,-0.1896,-0.181,-0.1797,-0.8603,27.01,1.00 (1.00-1.00),33.26,1.00 (1.00-1.00),12.68,1.00 (1.00-1.00),cardiometabolic-spared
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,2,1428,34.99,intermediate_high_cardiometabolic_chronic,-0.0178,-0.3015,-0.2065,-0.1477,0.5847,35.69,1.39 (1.19-1.62),28.11,0.77 (0.66-0.90),15.79,0.96 (0.80-1.15),cardiometabolic-heavy
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,3,3,667,16.34,high_burden_severity_aligned,1.011,1.1217,0.9561,0.72,1.2461,25.21,0.73 (0.59-0.92),21.66,0.53 (0.42-0.67),39.72,1.32 (1.10-1.58),
strict_earliest_primary,strict_primary,CHARLS,1,3,1,4419,73.42,intermediate_severity_aligned,-0.2315,-0.5196,-0.1505,-0.1997,-0.056,32.71,1.00 (1.00-1.00),47.93,1.00 (1.00-1.00),8.94,1.00 (1.00-1.00),
strict_earliest_primary,strict_primary,CHARLS,1,3,2,687,11.41,intermediate_severity_aligned,0.2213,0.2715,0.2962,0.2228,0.0946,29.88,0.77 (0.64-0.92),49.47,1.08 (0.92-1.28),13.31,1.23 (0.97-1.54),
strict_earliest_primary,strict_primary,CHARLS,1,3,3,913,15.17,high_burden_high_functional_spared_cardiometabolic_chronic,0.8407,1.8374,0.5856,0.7004,0.2395,23.43,0.45 (0.37-0.54),49.76,1.12 (0.97-1.31),25.7,1.84 (1.55-2.18),functional-heavy; cardiometabolic-spared; mortality HR>1.5
strict_earliest_primary,strict_primary,ELSA,1,5,1,2604,42.66,intermediate_spared_cardiometabolic_chronic,-0.4149,-0.4212,-0.1999,-0.1985,-0.8399,18.54,1.00 (1.00-1.00),61.38,1.00 (1.00-1.00),2.89,1.00 (1.00-1.00),cardiometabolic-spared
strict_earliest_primary,strict_primary,ELSA,1,5,2,1668,27.33,intermediate_high_cardiometabolic_chronic_spared_functional,-0.0601,-0.4212,-0.0594,-0.1414,0.3817,25.93,1.18 (1.00-1.40),64.21,1.18 (1.03-1.36),5.97,1.47 (1.06-2.03),cardiometabolic-heavy
strict_earliest_primary,strict_primary,ELSA,1,5,3,624,10.22,intermediate_severity_aligned,0.3703,0.5706,0.301,0.3121,0.2975,37.5,1.48 (1.17-1.86),65.32,1.32 (1.07-1.63),11.72,2.10 (1.47-3.01),mortality HR>1.5
strict_earliest_primary,strict_primary,ELSA,1,5,4,549,8.99,intermediate_high_cardiometabolic_chronic_spared_functional_affective,0.4103,-0.4212,0.2046,0.0297,1.828,43.89,2.12 (1.68-2.67),60.41,1.06 (0.86-1.31),12.91,2.53 (1.77-3.62),cardiometabolic-heavy; functional OR>1.5; mortality HR>1.5
