analysis_set,analysis_tier,cohort,period,cutpoint_years,n,events,event_pct,median_period_time_years,max_period_time_years,log_likelihood,partial_aic
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,full_followup,6.875,3990,726,18.2,10.0,10.875,-5133.116524,10272.233
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,early,6.875,3990,371,9.3,6.875,6.875,-2740.866639,5487.733
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,late,6.875,3412,355,10.4,3.125,4.0,-2379.242803,4764.486
strict_earliest_primary,strict_primary,CHARLS,full_followup,5.5417,5872,704,11.99,9.0,9.2917,-5613.818233,11233.636
strict_earliest_primary,strict_primary,CHARLS,early,5.5417,5872,488,8.31,5.5417,5.5417,-3926.902305,7859.805
strict_earliest_primary,strict_primary,CHARLS,late,5.5417,5143,216,4.2,3.4583,3.75,-1686.491353,3378.983
strict_earliest_primary,strict_primary,ELSA,full_followup,5.4583,5237,353,6.74,12.0,17.0,-2674.858435,5359.717
strict_earliest_primary,strict_primary,ELSA,early,5.4583,5237,203,3.88,5.4583,5.4583,-1572.486098,3154.972
strict_earliest_primary,strict_primary,ELSA,late,5.4583,4069,150,3.69,9.5417,11.5417,-1099.066276,2208.133
strict_earliest_primary,strict_primary,HRS,full_followup,10.7917,10044,5569,55.45,15.875,21.2917,-45724.305917,91458.612
strict_earliest_primary,strict_primary,HRS,early,10.7917,10044,2812,28.0,10.7917,10.7917,-23889.308226,47788.616
strict_earliest_primary,strict_primary,HRS,late,10.7917,6788,2757,40.62,8.75,10.5,-21807.175808,43624.352
strict_earliest_primary,strict_primary,MHAS,full_followup,10.2083,6487,2236,34.47,17.0,18.0,-17654.268568,35318.537
strict_earliest_primary,strict_primary,MHAS,early,10.2083,6487,1120,17.27,10.2083,10.2083,-9135.601335,18281.203
strict_earliest_primary,strict_primary,MHAS,late,10.2083,4971,1116,22.45,6.7917,7.7917,-8512.43357,17034.867
strict_earliest_primary,strict_primary,SHARE,full_followup,8.7917,12960,3201,24.7,11.0,17.9583,-25412.074608,50832.149
strict_earliest_primary,strict_primary,SHARE,early,8.7917,12960,1612,12.44,8.7917,8.7917,-13615.82609,27239.652
strict_earliest_primary,strict_primary,SHARE,late,8.7917,8511,1589,18.67,4.5,9.1667,-11789.34064,23586.681
