analysis_set,analysis_tier,cohort,term_label,ci_high_early,ci_high_full_followup,ci_high_late,ci_low_early,ci_low_full_followup,ci_low_late,hr_early,hr_full_followup,hr_late,log_hr_early,log_hr_full_followup,log_hr_late,late_minus_early_log_hr,late_vs_early_hr_ratio,direction_change,large_time_drift
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,2,0.8737,1.148,1.7861,0.5118,0.7979,1.0629,0.6687,0.9571,1.3778,-0.402448,-0.043836,0.320494,0.722942,2.060486252808687,1,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,1.5664,1.578,1.9977,0.9787,1.0981,1.1317,1.2381,1.3164,1.5036,0.213614,0.274868,0.407863,0.19424899999999998,1.2143986305714052,0,0
strict_earliest_primary,strict_primary,CHARLS,2,1.6366,1.5415,1.8117,0.9425,0.9734,0.7883,1.242,1.225,1.1951,0.216692,0.202902,0.178192,-0.038500000000000006,0.9622317047398176,0,0
strict_earliest_primary,strict_primary,CHARLS,3,2.2832,2.1814,2.4635,1.521,1.5524,1.3202,1.8635,1.8402,1.8034,0.622478,0.609883,0.589696,-0.03278199999999998,0.9677495059873444,0,0
strict_earliest_primary,strict_primary,ELSA,2,2.3226,2.0307,2.2909,0.959,1.0647,0.8904,1.4924,1.4704,1.4282,0.4004,0.385519,0.356399,-0.04400099999999996,0.9569530005195678,0,0
strict_earliest_primary,strict_primary,ELSA,3,3.4969,3.0129,3.5282,1.3262,1.4705,1.2159,2.1535,2.1048,2.0712,0.767108,0.744243,0.728132,-0.03897600000000001,0.9617737914403727,0,0
strict_earliest_primary,strict_primary,ELSA,4,4.4183,3.6196,3.8607,1.7032,1.7706,1.3024,2.7432,2.5316,2.2423,1.009142,0.928852,0.807513,-0.20162899999999995,0.8173981264003395,0,0
strict_earliest_primary,strict_primary,ELSA,5,5.3363,4.2011,4.192,2.2145,2.1579,1.4904,3.4376,3.0109,2.4996,1.234766,1.10224,0.916114,-0.31865200000000005,0.7271285460163711,0,0
strict_earliest_primary,strict_primary,HRS,2,2.1748,1.7559,1.6282,1.7501,1.5358,1.3706,1.9509,1.6422,1.4938,0.668288,0.496013,0.401349,-0.266939,0.765719778947297,0,0
strict_earliest_primary,strict_primary,HRS,3,3.2678,2.4466,2.1215,2.484,2.0168,1.5813,2.8491,2.2213,1.8315,1.047007,0.798104,0.60516,-0.441847,0.6428479836732027,0,1
strict_earliest_primary,strict_primary,HRS,4,3.3983,2.3817,1.9131,2.5082,1.9168,1.3736,2.9195,2.1366,1.6211,1.07142,0.759231,0.483098,-0.588322,0.5552582267602145,0,1
strict_earliest_primary,strict_primary,HRS,5,4.4181,3.1935,2.6164,3.3193,2.592,1.8584,3.8295,2.8771,2.2051,1.342739,1.056781,0.790767,-0.5519719999999999,0.5758131864339681,0,1
strict_earliest_primary,strict_primary,MHAS,2,1.5296,1.5206,1.6479,1.1032,1.2246,1.2342,1.299,1.3646,1.4261,0.261606,0.310855,0.354958,0.09335199999999999,1.097848109796824,0,0
strict_earliest_primary,strict_primary,MHAS,3,3.1536,2.7464,2.6569,2.1941,2.1212,1.8315,2.6305,2.4136,2.206,0.967161,0.881119,0.791159,-0.1760020000000001,0.8386163061027845,0,0
strict_earliest_primary,strict_primary,MHAS,4,2.7824,2.4733,2.5207,1.8537,1.8423,1.6331,2.2711,2.1346,2.0289,0.820261,0.758287,0.707505,-0.11275599999999997,0.8933686154665553,0,0
strict_earliest_primary,strict_primary,MHAS,5,2.7662,2.2558,2.0135,1.8774,1.6924,1.2908,2.2789,1.9539,1.6122,0.823691,0.669847,0.477584,-0.34610699999999994,0.7074367873203921,0,0
strict_earliest_primary,strict_primary,SHARE,2,1.4676,1.3621,1.3708,1.1045,1.1314,1.0728,1.2732,1.2414,1.2127,0.241532,0.216229,0.192841,-0.048690999999999984,0.9524753991298675,0,0
strict_earliest_primary,strict_primary,SHARE,3,2.1687,1.8615,1.7746,1.5872,1.5036,1.3214,1.8553,1.673,1.5313,0.618035,0.514618,0.426147,-0.191888,0.8253993080374714,0,0
strict_earliest_primary,strict_primary,SHARE,4,3.837,3.0895,2.6315,2.7971,2.453,1.8321,3.276,2.7529,2.1958,1.186626,1.012654,0.786528,-0.40009799999999995,0.6702543578898995,0,0
