analysis_set,analysis_tier,cohort,period,cutpoint_years,term,term_label,n,events,log_hr,hr,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,full_followup,6.875,"C(endotype_class, Treatment(reference='1'))[T.2]",2,3990,726,-0.043836,0.9571,0.7979,1.148,0.636642
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,full_followup,6.875,"C(endotype_class, Treatment(reference='1'))[T.3]",3,3990,726,0.274868,1.3164,1.0981,1.578,0.002965
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,full_followup,6.875,age,age,3990,726,0.112525,1.1191,1.1098,1.1285,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,early,6.875,"C(endotype_class, Treatment(reference='1'))[T.2]",2,3990,371,-0.402448,0.6687,0.5118,0.8737,0.003187
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,early,6.875,"C(endotype_class, Treatment(reference='1'))[T.3]",3,3990,371,0.213614,1.2381,0.9787,1.5664,0.075041
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,early,6.875,age,age,3990,371,0.122164,1.1299,1.1176,1.1425,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,late,6.875,"C(endotype_class, Treatment(reference='1'))[T.2]",2,3412,355,0.320494,1.3778,1.0629,1.7861,0.015498
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,late,6.875,"C(endotype_class, Treatment(reference='1'))[T.3]",3,3412,355,0.407863,1.5036,1.1317,1.9977,0.004903
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,late,6.875,age,age,3412,355,0.097966,1.1029,1.0889,1.1171,0.0
strict_earliest_primary,strict_primary,CHARLS,full_followup,5.5417,"C(endotype_class, Treatment(reference='1'))[T.2]",2,5872,704,0.202902,1.225,0.9734,1.5415,0.08363
strict_earliest_primary,strict_primary,CHARLS,full_followup,5.5417,"C(endotype_class, Treatment(reference='1'))[T.3]",3,5872,704,0.609883,1.8402,1.5524,2.1814,0.0
strict_earliest_primary,strict_primary,CHARLS,full_followup,5.5417,age,age,5872,704,0.101573,1.1069,1.0986,1.1152,0.0
strict_earliest_primary,strict_primary,CHARLS,early,5.5417,"C(endotype_class, Treatment(reference='1'))[T.2]",2,5872,488,0.216692,1.242,0.9425,1.6366,0.123738
strict_earliest_primary,strict_primary,CHARLS,early,5.5417,"C(endotype_class, Treatment(reference='1'))[T.3]",3,5872,488,0.622478,1.8635,1.521,2.2832,0.0
strict_earliest_primary,strict_primary,CHARLS,early,5.5417,age,age,5872,488,0.099306,1.1044,1.0946,1.1143,0.0
strict_earliest_primary,strict_primary,CHARLS,late,5.5417,"C(endotype_class, Treatment(reference='1'))[T.2]",2,5143,216,0.178192,1.1951,0.7883,1.8117,0.401269
strict_earliest_primary,strict_primary,CHARLS,late,5.5417,"C(endotype_class, Treatment(reference='1'))[T.3]",3,5143,216,0.589696,1.8034,1.3202,2.4635,0.000211
strict_earliest_primary,strict_primary,CHARLS,late,5.5417,age,age,5143,216,0.106931,1.1129,1.0977,1.1282,0.0
strict_earliest_primary,strict_primary,ELSA,full_followup,5.4583,"C(endotype_class, Treatment(reference='1'))[T.2]",2,5237,353,0.385519,1.4704,1.0647,2.0307,0.019261
strict_earliest_primary,strict_primary,ELSA,full_followup,5.4583,"C(endotype_class, Treatment(reference='1'))[T.3]",3,5237,353,0.744243,2.1048,1.4705,3.0129,4.8e-05
strict_earliest_primary,strict_primary,ELSA,full_followup,5.4583,"C(endotype_class, Treatment(reference='1'))[T.4]",4,5237,353,0.928852,2.5316,1.7706,3.6196,0.0
strict_earliest_primary,strict_primary,ELSA,full_followup,5.4583,"C(endotype_class, Treatment(reference='1'))[T.5]",5,5237,353,1.10224,3.0109,2.1579,4.2011,0.0
